#ID	Group	Solicit	Course	Entity	Day	Hour	Bld	Type	Room
126	32	34	81	33	4	9	4	1	109
127	32	34	81	33	4	10	4	1	109
128	32	34	81	33	4	11	4	1	109
129	33	35	95	27	5	2	1	2	35
130	33	35	95	27	5	3	1	2	35
131	33	35	95	27	5	4	1	2	35
132	33	35	95	27	5	5	1	2	35
133	34	36	12	13	3	8	2	1	37
134	34	36	12	13	3	9	2	1	37
135	34	36	12	13	3	10	2	1	37
136	34	36	12	13	3	11	2	1	37
137	35	37	93	32	6	8	1	1	14
138	35	37	93	32	6	9	1	1	14
139	35	37	93	32	6	10	1	1	14
140	35	37	93	32	6	11	1	1	14
141	36	38	60	40	3	2	2	1	32
142	36	38	60	40	3	3	2	1	32
143	36	38	60	40	5	2	2	1	127
144	36	38	60	40	5	3	2	1	127
145	37	39	178	18	2	2	4	1	10
146	37	39	178	18	2	3	4	1	10
147	37	39	178	18	2	4	4	1	10
148	37	39	178	18	2	5	4	1	10
149	37	39	178	18	2	6	4	1	10
150	37	39	178	18	2	1	4	1	10
155	39	41	79	40	4	14	2	1	32
156	39	41	79	40	4	15	2	1	32
157	39	41	79	40	4	16	15	2	211
158	39	41	79	40	4	17	15	2	211
159	39	41	79	40	6	14	15	2	211
160	39	41	79	40	6	15	15	2	211
161	39	41	79	40	6	16	2	1	4
162	39	41	79	40	6	17	2	1	4
163	40	42	167	29	3	4	5	1	96
164	40	42	167	29	3	5	5	1	96
165	40	42	167	29	3	6	5	1	96
166	40	42	167	29	4	4	5	1	96
167	40	42	167	29	4	5	5	1	96
168	40	42	167	29	4	6	5	1	96
169	40	42	167	29	5	4	5	1	96
170	40	42	167	29	5	5	5	1	96
171	40	42	167	29	5	6	5	1	96
172	41	43	40	13	4	14	2	2	4
173	41	43	40	13	4	15	2	2	4
174	41	43	40	13	4	16	2	2	4
175	41	43	40	13	4	17	2	2	4
176	42	44	19	38	2	16	2	1	24
177	42	44	19	38	2	17	2	1	24
178	43	45	41	13	4	4	2	1	30
179	43	45	41	13	4	5	2	1	30
180	43	45	41	13	6	4	2	1	30
181	43	45	41	13	6	5	2	1	30
182	44	46	177	12	3	4	2	1	0
183	44	46	177	12	3	5	2	1	0
184	44	46	177	12	5	2	2	1	0
185	44	46	177	12	5	3	2	1	0
186	34	47	12	13	6	2	2	1	47
187	34	47	12	13	6	3	2	1	47
188	34	47	12	13	6	4	2	1	47
189	34	47	12	13	6	5	2	1	47
190	45	48	83	17	2	2	4	3	109
191	45	48	83	17	2	3	4	3	109
192	45	48	83	17	2	4	4	3	109
193	45	48	83	17	2	5	4	3	109
194	45	48	83	17	5	2	4	3	109
195	45	48	83	17	5	3	4	3	109
196	45	48	83	17	5	4	4	3	109
197	45	48	83	17	5	5	4	3	109
198	43	49	41	13	2	4	2	1	30
199	43	49	41	13	2	5	2	1	30
200	43	49	41	13	6	2	2	1	30
201	43	49	41	13	6	3	2	1	30
206	47	51	18	33	5	2	4	1	149
207	47	51	18	33	5	3	4	1	149
208	47	51	18	33	5	4	4	1	149
209	47	51	18	33	5	5	4	1	149
210	48	52	8	8	6	8	5	1	98
211	48	52	8	8	6	9	5	1	98
212	48	52	8	8	6	10	5	1	98
213	48	52	8	8	6	11	5	1	98
214	49	53	166	8	3	8	1	1	1
215	49	53	166	8	3	9	1	1	1
216	49	53	166	8	3	10	1	1	1
217	49	53	166	8	3	11	1	1	1
218	22	54	5	27	5	8	4	1	123
219	22	54	5	27	5	9	4	1	123
220	22	54	5	27	5	10	4	1	123
221	22	54	5	27	5	11	4	1	123
222	50	55	103	42	3	8	2	1	36
223	50	55	103	42	3	9	2	1	36
228	17	57	178	18	4	2	4	1	120
229	17	57	178	18	4	3	4	1	120
230	17	57	178	18	4	4	4	1	120
231	17	57	178	18	4	5	4	1	120
232	52	58	41	13	3	2	2	1	31
233	52	58	41	13	3	3	2	1	31
234	52	58	41	13	5	2	2	1	31
235	52	58	41	13	5	3	2	1	31
242	55	61	142	14	5	15	17	1	
243	55	61	142	14	5	16	17	1	
244	55	61	142	14	5	17	17	1	
245	55	61	142	14	5	17	17	1	
246	56	62	155	34	3	4	1	1	13
247	56	62	155	34	3	5	1	1	13
248	56	62	155	34	5	4	1	1	13
249	56	62	155	34	5	5	1	1	13
250	57	63	5	27	3	2	4	1	56
251	57	63	5	27	3	3	4	1	56
252	57	63	5	27	3	4	4	1	56
253	57	63	5	27	3	5	4	1	56
254	58	64	41	13	4	16	2	1	40
255	58	64	41	13	4	17	2	1	40
256	58	64	41	13	6	16	2	1	40
257	58	64	41	13	6	17	2	1	40
258	59	65	133	34	2	8	1	1	14
259	59	65	133	34	2	9	1	1	14
260	59	65	133	34	4	8	1	1	14
261	59	65	133	34	4	9	1	1	14
266	61	67	180	31	2	10	17	1	
267	61	67	180	31	2	11	17	1	
268	61	67	180	31	2	12	17	1	
269	61	67	180	31	6	4	17	1	
270	61	67	180	31	6	5	17	1	
271	61	67	180	31	6	6	17	1	
276	63	69	179	18	3	14	4	1	0
277	63	69	179	18	3	15	4	1	0
278	63	69	179	18	3	16	4	1	0
279	63	69	179	18	3	17	4	1	0
282	17	71	178	18	3	2	4	1	122
283	17	71	178	18	3	3	4	1	122
284	17	71	178	18	3	4	4	1	122
285	17	71	178	18	3	5	4	1	122
286	65	72	167	29	5	2	5	1	96
287	65	72	167	29	5	1	5	1	96
288	66	73	48	35	6	12	18	1	
289	66	73	48	35	6	13	18	1	
290	67	74	91	43	6	14	2	1	48
291	67	74	91	43	6	15	2	1	48
292	67	74	91	43	6	16	2	1	48
293	67	74	91	43	6	17	2	1	48
294	68	75	88	31	2	2	17	1	
295	68	75	88	31	2	3	17	1	
296	68	75	88	31	2	4	17	1	
297	68	75	88	31	2	5	17	1	
298	68	75	88	31	2	8	17	1	
299	68	75	88	31	2	9	17	1	
300	68	75	88	31	2	10	17	1	
301	68	75	88	31	2	1	17	1	
302	68	75	88	31	3	2	17	1	
303	68	75	88	31	3	3	17	1	
304	68	75	88	31	3	4	17	1	
305	68	75	88	31	3	5	17	1	
306	68	75	88	31	3	1	17	1	
307	68	75	88	31	4	2	17	1	
308	68	75	88	31	4	3	17	1	
309	68	75	88	31	4	4	17	1	
310	68	75	88	31	4	5	17	1	
311	68	75	88	31	4	1	17	1	
312	69	76	79	40	4	14	2	1	29
313	69	76	79	40	4	15	2	1	29
314	69	76	79	40	4	16	2	1	29
315	69	76	79	40	4	17	2	1	29
316	70	77	158	32	2	8	1	1	19
317	70	77	158	32	2	9	1	1	19
318	70	77	158	32	2	10	1	1	19
319	70	77	158	32	2	11	1	1	19
320	71	78	81	33	2	8	4	1	115
321	71	78	81	33	2	9	4	1	115
322	71	78	81	33	2	10	4	1	115
323	71	78	81	33	2	11	4	1	115
324	72	79	180	31	2	7	17	1	
325	72	79	180	31	2	7	17	1	
326	72	79	180	31	2	9	17	1	
327	72	79	180	31	6	1	17	1	
328	72	79	180	31	6	2	17	1	
329	72	79	180	31	6	3	17	1	
330	73	80	182	18	5	14	4	1	120
331	73	80	182	18	5	15	4	1	120
332	73	80	182	18	5	16	4	1	120
333	73	80	182	18	5	17	4	1	120
334	74	81	74	40	4	14	15	2	209
335	74	81	74	40	4	15	15	2	209
336	74	81	74	40	4	16	15	2	209
337	74	81	74	40	4	17	15	2	209
338	74	81	74	40	6	14	15	2	209
339	74	81	74	40	6	15	15	2	209
340	74	81	74	40	6	16	15	2	209
341	74	81	74	40	6	17	15	2	209
342	75	82	4	27	3	8	4	1	111
343	75	82	4	27	3	9	4	1	111
344	75	82	4	27	3	10	4	1	111
345	75	82	4	27	3	11	4	1	111
350	77	84	58	18	4	2	4	1	49
351	77	84	58	18	4	3	4	1	49
352	77	84	58	18	4	4	4	1	49
353	77	84	58	18	4	5	4	1	49
354	28	85	88	31	4	2	17	1	
355	28	85	88	31	4	3	17	1	
356	28	85	88	31	4	4	17	1	
357	28	85	88	31	4	5	17	1	
358	28	85	88	31	4	1	17	1	
359	28	85	88	31	6	8	17	1	
360	28	85	88	31	6	9	17	1	
361	28	85	88	31	6	10	17	1	
362	28	85	88	31	6	11	17	1	
367	79	87	155	34	2	16	1	1	10
368	79	87	155	34	2	17	1	1	10
369	79	87	155	34	4	16	1	1	10
370	79	87	155	34	4	17	1	1	10
371	80	88	103	42	5	2	5	1	95
372	80	88	103	42	5	3	5	1	95
373	80	88	103	42	5	4	5	1	95
374	80	88	103	42	5	5	5	1	95
375	81	89	77	38	2	16	4	2	111
376	81	89	77	38	2	17	4	2	111
377	81	89	77	38	4	16	4	1	112
378	81	89	77	38	4	17	4	1	112
379	81	89	77	38	6	14	4	1	113
380	81	89	77	38	6	15	4	1	113
381	82	90	93	32	4	4	1	2	128
382	82	90	93	32	4	5	1	2	128
383	83	91	60	40	2	8	2	2	211
384	83	91	60	40	2	9	2	2	211
385	83	91	60	40	2	10	2	2	211
386	83	91	60	40	2	11	2	2	211
387	83	91	60	40	5	8	2	2	211
388	83	91	60	40	5	9	2	2	211
389	83	91	60	40	5	10	2	2	211
390	83	91	60	40	5	11	2	2	211
391	80	92	103	42	4	4	5	1	95
392	80	92	103	42	4	5	5	1	95
393	80	92	103	42	4	8	5	1	95
394	80	92	103	42	4	9	5	1	95
395	84	93	156	32	2	4	5	1	104
396	84	93	156	32	2	5	5	1	104
401	86	95	119	41	2	2	17	1	
402	86	95	119	41	2	3	17	1	
403	86	95	119	41	2	4	17	1	
404	86	95	119	41	2	5	17	1	
405	8	96	161	16	3	4	2	1	36
406	8	96	161	16	3	5	2	1	36
411	65	98	167	29	3	4	5	1	61
412	65	98	167	29	3	5	5	1	61
413	65	98	167	29	3	6	5	1	61
414	65	98	167	29	4	4	5	1	61
415	65	98	167	29	4	5	5	1	61
416	65	98	167	29	4	6	5	1	61
417	65	98	167	29	5	4	5	1	61
418	65	98	167	29	5	5	5	1	61
419	65	98	167	29	5	6	5	1	61
420	55	99	142	14	4	12	17	1	
421	55	99	142	14	4	13	17	1	
422	55	99	142	14	4	15	17	1	
423	55	99	142	14	4	16	17	1	
424	55	99	142	14	4	17	17	1	
425	55	99	142	14	4	17	17	1	
426	88	100	41	13	2	14	2	1	40
427	88	100	41	13	2	15	2	1	40
428	88	100	41	13	4	14	2	1	40
429	88	100	41	13	4	15	2	1	40
434	13	102	43	27	2	2	4	1	0
435	13	102	43	27	2	3	4	1	0
436	13	102	43	27	2	4	4	1	0
437	13	102	43	27	2	5	4	1	0
438	90	103	156	32	3	2	1	1	27
439	90	103	156	32	3	3	1	1	27
440	90	103	156	32	3	4	1	1	27
441	90	103	156	32	3	5	1	1	27
449	93	107	18	33	6	2	4	1	220
450	93	107	18	33	6	3	4	1	220
451	93	107	18	33	6	4	4	1	220
452	93	107	18	33	6	5	4	1	220
453	94	108	154	34	2	8	1	1	23
454	94	108	154	34	2	9	1	1	23
455	94	108	154	34	4	8	1	1	23
456	94	108	154	34	4	9	1	1	23
461	96	110	103	42	2	8	5	1	103
462	96	110	103	42	2	9	5	1	103
463	96	110	103	42	2	10	5	1	103
464	96	110	103	42	2	11	5	1	103
465	97	111	19	38	3	8	2	1	50
466	97	111	19	38	3	9	2	1	50
467	97	111	19	38	5	8	2	1	50
468	97	111	19	38	5	9	2	1	50
469	98	112	161	16	2	8	5	1	95
470	98	112	161	16	2	9	5	1	95
471	98	112	161	16	2	10	5	1	95
472	98	112	161	16	2	11	5	1	95
473	99	113	155	34	2	14	1	1	119
474	99	113	155	34	2	15	1	1	119
475	99	113	155	34	4	14	1	1	121
476	99	113	155	34	4	15	1	1	121
481	30	115	155	34	2	14	1	1	14
482	30	115	155	34	2	15	1	1	14
483	30	115	155	34	4	14	1	1	14
484	30	115	155	34	4	15	1	1	14
485	26	116	156	32	5	8	1	1	6
486	26	116	156	32	5	9	1	1	6
487	101	117	79	40	4	14	2	1	44
488	101	117	79	40	4	15	2	1	44
489	101	117	79	40	4	16	2	1	44
490	101	117	79	40	4	17	2	1	44
491	102	118	40	13	3	16	2	1	42
492	102	118	40	13	3	17	2	1	42
493	102	118	40	13	6	16	2	1	42
494	102	118	40	13	6	17	2	1	42
495	103	119	95	27	4	2	4	1	
496	103	119	95	27	4	3	4	1	
497	103	119	95	27	4	4	4	1	
498	103	119	95	27	4	5	4	1	
503	104	121	4	27	2	8	4	1	119
504	104	121	4	27	2	9	4	1	119
505	104	121	4	27	2	10	4	1	119
506	104	121	4	27	2	11	4	1	119
507	34	122	12	13	3	4	2	2	33
508	34	122	12	13	3	5	2	2	33
509	34	122	12	13	5	4	2	2	33
510	34	122	12	13	5	5	2	2	33
511	105	123	29	22	5	14	5	1	87
512	105	123	29	22	5	15	5	1	87
513	105	123	29	22	5	16	5	1	87
514	105	123	29	22	5	17	5	1	87
515	106	124	18	33	5	2	4	1	111
516	106	124	18	33	5	3	4	1	111
517	106	124	18	33	5	4	4	1	111
518	106	124	18	33	5	5	4	1	111
519	107	125	53	25	2	2	5	1	87
520	107	125	53	25	2	3	5	1	87
521	107	125	53	25	3	2	5	1	87
522	107	125	53	25	3	3	5	1	87
525	109	127	41	13	5	16	2	1	41
526	109	127	41	13	5	17	2	1	41
527	110	128	79	40	2	14	2	1	21
528	110	128	79	40	2	15	2	1	21
529	110	128	79	40	4	14	2	1	21
530	110	128	79	40	4	15	2	1	21
531	111	129	79	40	2	14	2	1	38
532	111	129	79	40	2	15	2	1	38
533	111	129	79	40	2	16	2	1	38
534	111	129	79	40	2	17	2	1	38
538	113	131	177	12	2	2	5	1	98
539	113	131	177	12	2	3	5	1	98
540	113	131	177	12	4	2	5	1	98
541	113	131	177	12	4	3	5	1	98
542	114	132	68	24	6	3	17	1	
543	114	132	68	24	6	4	17	1	
544	114	132	68	24	6	7	17	1	
545	114	132	68	24	6	7	17	1	
546	115	133	77	38	3	10	4	1	115
547	115	133	77	38	3	11	4	1	115
548	115	133	77	38	5	10	4	1	115
549	115	133	77	38	5	11	4	1	115
550	116	134	18	33	3	2	4	1	0
551	116	134	18	33	3	3	4	1	0
552	116	134	18	33	3	4	4	1	0
553	116	134	18	33	3	5	4	1	0
554	116	134	18	33	4	2	4	1	0
555	116	134	18	33	4	3	4	1	0
556	116	134	18	33	4	4	4	1	0
557	116	134	18	33	4	5	4	1	0
558	117	135	93	32	6	2	2	1	50
559	117	135	93	32	6	3	2	1	50
560	117	135	93	32	6	4	2	1	50
561	117	135	93	32	6	5	2	1	50
562	118	136	167	29	6	2	5	1	86
563	118	136	167	29	6	3	5	1	86
564	118	136	167	29	6	4	5	1	86
565	118	136	167	29	6	5	5	1	86
566	118	136	167	29	6	8	5	1	86
567	118	136	167	29	6	9	5	1	86
568	118	136	167	29	6	10	5	1	86
577	120	138	87	43	2	2	1	1	6
578	120	138	87	43	2	3	1	1	6
579	120	138	87	43	4	2	1	1	6
580	120	138	87	43	4	3	1	1	6
581	121	139	53	25	2	8	5	1	85
582	121	139	53	25	2	9	5	1	85
583	121	139	53	25	2	10	5	1	85
584	121	139	53	25	2	11	5	1	85
585	121	139	53	25	2	7	5	1	85
586	122	140	167	29	6	2	5	1	59
587	122	140	167	29	6	1	5	1	59
588	3	141	53	25	2	4	5	1	99
589	3	141	53	25	2	5	5	1	99
590	3	141	53	25	2	6	5	1	99
591	123	142	154	34	2	4	1	1	22
592	123	142	154	34	2	5	1	1	22
593	123	142	154	34	4	4	1	1	21
594	123	142	154	34	4	5	1	1	21
603	77	145	58	18	4	2	4	1	124
604	77	145	58	18	4	3	4	1	124
605	77	145	58	18	4	4	4	1	124
606	77	145	58	18	4	5	4	1	124
607	109	146	41	13	3	14	2	1	30
608	109	146	41	13	3	15	2	1	30
609	109	146	41	13	5	14	2	1	30
610	109	146	41	13	5	15	2	1	30
611	126	147	13	38	2	10	2	1	41
612	126	147	13	38	2	11	2	1	41
613	126	147	13	38	4	10	2	1	41
614	126	147	13	38	4	11	2	1	41
615	127	148	81	33	6	2	4	1	121
616	127	148	81	33	6	3	4	1	121
617	127	148	81	33	6	4	4	1	121
618	127	148	81	33	6	5	4	1	121
619	28	149	88	31	4	2	17	1	
620	28	149	88	31	4	3	17	1	
621	28	149	88	31	4	4	17	1	
622	28	149	88	31	4	5	17	1	
623	28	149	88	31	6	8	17	1	
624	28	149	88	31	6	9	17	1	
625	28	149	88	31	6	10	17	1	
626	28	149	88	31	6	11	17	1	
631	129	151	103	42	5	2	4	1	17
632	129	151	103	42	5	3	4	1	17
633	129	151	103	42	5	4	4	1	17
634	129	151	103	42	5	5	4	1	17
635	130	152	7	30	4	2	1	1	
636	130	152	7	30	4	3	1	1	
637	130	152	7	30	5	2	1	1	
638	130	152	7	30	5	3	1	1	
639	130	152	7	30	5	4	1	1	0
640	131	153	12	13	5	2	2	1	32
641	131	153	12	13	5	3	2	1	32
642	131	153	12	13	5	4	2	1	32
643	131	153	12	13	5	5	2	1	32
644	132	154	157	32	6	2	1	1	56
645	132	154	157	32	6	3	1	1	56
646	133	155	5	27	2	2	4	1	120
647	133	155	5	27	2	3	4	1	120
648	133	155	5	27	2	4	4	1	120
649	133	155	5	27	2	5	4	1	120
650	134	156	137	18	2	4	1	1	15
651	134	156	137	18	2	5	1	1	15
652	134	156	137	18	5	4	1	1	18
653	134	156	137	18	5	5	1	1	18
654	135	157	167	29	2	8	5	1	97
655	135	157	167	29	2	9	5	1	97
656	135	157	167	29	2	10	5	1	97
657	135	157	167	29	2	11	5	1	97
658	135	157	167	29	3	8	5	1	97
659	135	157	167	29	3	9	5	1	97
660	135	157	167	29	3	10	5	1	97
661	135	157	167	29	3	11	5	1	97
662	135	157	167	29	4	8	5	1	96
663	135	157	167	29	4	9	5	1	96
664	135	157	167	29	4	10	5	1	96
665	135	157	167	29	4	11	5	1	96
666	135	157	167	29	5	8	5	1	97
667	135	157	167	29	5	9	5	1	97
668	135	157	167	29	5	10	5	1	97
669	135	157	167	29	5	11	5	1	97
670	136	158	158	32	2	8	1	1	18
671	136	158	158	32	2	9	1	1	18
672	136	158	158	32	2	10	1	1	18
673	116	159	18	33	2	2	4	1	123
674	116	159	18	33	2	3	4	1	123
675	116	159	18	33	2	4	4	1	123
676	116	159	18	33	2	5	4	1	123
679	138	161	12	13	3	14	2	1	36
680	138	161	12	13	3	15	2	1	36
681	138	161	12	13	5	14	2	1	36
682	138	161	12	13	5	15	2	1	36
689	77	163	58	18	2	2	4	1	3
690	77	163	58	18	2	3	4	1	3
691	77	163	58	18	2	4	4	1	3
692	77	163	58	18	2	5	4	1	3
693	139	164	166	8	4	10	2	1	30
694	139	164	166	8	4	11	2	1	30
695	139	164	166	8	6	10	2	1	30
696	139	164	166	8	6	11	2	1	30
697	140	165	157	32	3	4	1	1	29
698	140	165	157	32	3	5	1	1	29
699	140	165	157	32	5	4	1	1	29
700	140	165	157	32	5	5	1	1	29
706	123	167	154	34	2	2	1	1	22
707	123	167	154	34	2	3	1	1	22
708	123	167	154	34	4	2	1	1	22
709	123	167	154	34	4	3	1	1	22
716	141	170	161	16	4	4	1	1	
717	141	170	161	16	4	5	1	1	
718	133	171	5	27	4	8	4	1	122
719	133	171	5	27	4	9	4	1	122
720	133	171	5	27	4	10	4	1	122
721	133	171	5	27	4	11	4	1	122
722	142	172	74	40	6	16	2	1	43
723	142	172	74	40	6	17	2	1	43
724	51	173	110	27	6	2	2	2	4
725	51	173	110	27	6	3	2	2	4
726	51	173	110	27	6	4	2	2	4
727	51	173	110	27	6	5	2	2	4
728	143	174	137	18	3	2	4	1	118
729	143	174	137	18	3	3	4	1	118
730	143	174	137	18	5	2	4	1	
731	143	174	137	18	5	3	4	1	
732	144	175	152	15	2	14	4	1	124
733	144	175	152	15	2	15	4	1	124
734	144	175	152	15	2	16	4	1	124
735	144	175	152	15	2	17	4	1	124
736	141	176	161	16	2	4	1	1	20
737	141	176	161	16	2	5	1	1	20
738	141	176	161	16	6	8	1	1	20
739	141	176	161	16	6	10	1	1	20
744	145	178	133	34	3	4	1	1	
745	145	178	133	34	3	5	1	1	
746	145	178	133	34	5	4	1	1	
747	145	178	133	34	5	5	1	1	
748	63	179	179	18	3	2	4	1	113
749	63	179	179	18	3	3	4	1	113
750	63	179	179	18	3	4	4	1	113
751	63	179	179	18	3	5	4	1	113
752	146	180	137	18	5	8	4	1	124
753	146	180	137	18	5	9	4	1	124
754	146	180	137	18	5	10	4	1	124
755	146	180	137	18	5	11	4	1	124
756	19	181	117	17	5	2	4	1	
757	19	181	117	17	5	3	4	1	
758	19	181	117	17	5	4	4	1	
759	19	181	117	17	5	5	4	1	
760	147	182	103	42	3	14	5	1	103
761	147	182	103	42	3	15	5	1	103
762	148	183	78	21	3	14	5	1	96
763	148	183	78	21	3	15	5	1	96
764	148	183	78	21	3	16	5	1	96
765	148	183	78	21	3	17	5	1	96
766	149	184	35	33	3	2	4	1	124
767	149	184	35	33	3	3	4	1	124
768	149	184	35	33	3	4	4	1	124
769	149	184	35	33	3	5	4	1	124
770	150	185	95	27	6	2	4	1	119
771	150	185	95	27	6	3	4	1	119
772	150	185	95	27	6	4	4	1	119
773	150	185	95	27	6	5	4	1	119
774	141	186	161	16	2	2	1	1	2
775	141	186	161	16	2	3	1	1	2
776	141	186	161	16	6	4	1	1	8
777	141	186	161	16	6	5	1	1	8
778	141	186	161	16	6	6	1	1	8
779	51	187	110	27	2	4	4	1	115
780	51	187	110	27	2	5	4	1	115
781	51	187	110	27	5	4	4	1	126
782	51	187	110	27	5	5	4	1	126
783	151	188	75	11	2	9	5	3	65
784	151	188	75	11	2	10	5	3	65
785	151	188	75	11	4	9	5	3	65
786	151	188	75	11	4	10	5	3	65
787	152	189	79	40	3	14	2	1	111
788	152	189	79	40	3	15	2	1	111
789	152	189	79	40	3	16	2	1	111
790	152	189	79	40	3	17	2	1	111
791	34	190	12	13	5	14	2	1	31
792	34	190	12	13	5	15	2	1	31
793	34	190	12	13	5	16	2	1	31
794	34	190	12	13	5	17	2	1	31
795	153	191	87	43	2	2	1	1	17
796	153	191	87	43	2	3	1	1	17
797	153	191	87	43	4	2	1	1	17
798	153	191	87	43	4	3	1	1	17
799	97	192	19	38	3	16	2	1	51
800	97	192	19	38	3	17	2	1	51
801	97	192	19	38	5	16	2	1	51
802	97	192	19	38	5	17	2	1	51
805	154	194	76	43	3	8	1	1	18
806	154	194	76	43	3	9	1	1	18
807	154	194	76	43	5	8	1	1	18
808	154	194	76	43	5	9	1	1	18
813	136	196	158	32	3	16	1	1	54
814	136	196	158	32	3	17	1	1	54
815	156	197	40	13	5	14	2	2	15
816	156	197	40	13	5	15	2	2	15
817	156	197	40	13	5	16	2	2	15
818	156	197	40	13	5	17	2	2	15
819	157	198	154	34	3	2	1	1	57
820	157	198	154	34	3	3	1	1	57
821	157	198	154	34	5	2	1	1	57
822	157	198	154	34	5	3	1	1	57
823	104	199	4	27	3	8	4	1	23
824	104	199	4	27	3	9	4	1	23
825	104	199	4	27	3	10	4	1	23
826	104	199	4	27	3	11	4	1	23
827	137	200	88	31	5	7	17	1	
828	137	200	88	31	5	7	17	1	
829	137	200	88	31	5	9	17	1	
830	158	201	83	17	4	2	5	1	97
831	158	201	83	17	4	3	5	1	97
832	26	202	156	32	3	4	1	1	17
833	26	202	156	32	3	5	1	1	17
838	160	204	167	29	3	8	5	1	98
839	160	204	167	29	3	9	5	1	98
840	160	204	167	29	3	10	5	1	98
841	160	204	167	29	3	11	5	1	98
842	161	205	87	43	2	2	1	1	20
843	161	205	87	43	2	3	1	1	20
844	161	205	87	43	4	2	1	1	20
845	161	205	87	43	4	3	1	1	20
846	161	205	87	43	6	2	1	1	23
847	161	205	87	43	6	3	1	1	23
852	153	207	87	43	3	2	1	1	8
853	153	207	87	43	3	3	1	1	8
854	153	207	87	43	5	2	1	1	8
855	153	207	87	43	5	3	1	1	8
856	10	208	142	14	4	15	17	1	
857	10	208	142	14	4	16	17	1	
858	10	208	142	14	4	17	17	1	
859	10	208	142	14	4	17	17	1	
871	163	212	161	16	4	10	5	1	99
872	163	212	161	16	4	11	5	1	99
873	163	212	161	16	6	10	5	1	99
874	163	212	161	16	6	11	5	1	99
885	133	215	5	27	2	2	4	1	119
886	133	215	5	27	2	3	4	1	119
887	133	215	5	27	2	4	4	1	119
888	133	215	5	27	2	5	4	1	119
889	156	216	40	13	4	14	2	1	39
890	156	216	40	13	4	15	2	1	39
891	156	216	40	13	4	16	2	1	39
892	156	216	40	13	4	17	2	1	39
893	165	217	158	32	2	14	1	1	17
894	165	217	158	32	2	15	1	1	17
895	165	217	158	32	2	16	1	1	17
896	165	217	158	32	2	17	1	1	17
