#ID	Group	Course	Name
155	133	5	Teorias Da Comunicação I - 1587965fb4d4b5afe8428a4a024feb0d
156	134	137	Introdução Às Relações Internacionais - 158f3069a435b314a80bdcb024f8e422
157	135	167	Saúde Do Adulto E Do Idoso - Psiquiatria/Medicina Legal E Saúde Mental Coletiva - 158fc2ddd52ec2cf54d3c161f2dd6517
158	136	158	Zoologia I - Filogenia - 15dbe48503c50804d2905688a3b30e04
159	116	18	Formação Do Território Brasileiro - 16026d60ff9b54410b3435b403afd226
161	138	12	Demografia Econômica - 1651cf0d2f737d7adeab84d339dbabd3
163	77	58	Antropologia 1 - 1680e9fa7b4dd5d62ece800239bb53bd
164	139	166	Cálculo 2b - 168908dd3227b8358eababa07fcaf091
165	140	157	Bioquímica Ii - 169779d3852b32ce8b1a1724dbf5217d
167	123	154	Física Do Estado Sólido I - 1714726c817af50457d810aae9d27a2e
170	141	161	Fisiologia Humana - 17ed8abedc255908be746d245e50263a
171	133	5	Cultura Brasileira - 17fafe5f6ce2f1904eb09d2e80a4cbf6
172	142	74	Computação E Sociedade - 1843e35d41ccf6e63273495ba42df3c1
173	51	110	Sistemas De Informação E Decisão I - 185c29dc24325934ee377cfda20e414c
174	143	137	Economia Brasileira - 186a157b2992e7daed3677ce8e9fe40f
175	144	152	Estética E Filosofia Da Arte - 186dec21dc9765f87e23cfb410f306f3
176	141	161	Bioquímica I - 1882d08e2f0fee76e54978fbff576289
178	145	133	Eletrônica 1 - 18bb68e2b38e4a8ce7cf4f6b2625768c
179	63	179	Tópicos De Sociologia I - 18d10dc6e666eab6de9215ae5b3d54df
180	146	137	Tópicos De Relações Internacionais - 18ead4c77c3f40dabf9735432ac9d97a
181	19	117	Estágio Curricular 1 - 190405a20e3f771fa5e6e3e309f7f7fc
182	147	103	Astrobiologia - 192fc044e74dffea144f9ac5dc9f3395
183	148	78	Estágio Em Educ. Inf. E Anos Ini. Do Ens. Fund Iii - 1943102704f8f8f3302c2b730728e023
184	149	35	Geografia E Sociedade - 194cf6c2de8e00c05fcf16c498adc7bf
185	150	95	Linguagens De Classificação I - 19de10adbaa1b2ee13f77f679fa1483a
186	141	161	Fisiologia Humana - 19f12e7b3a310824f06f2a4557f994e6
187	51	110	Usos E Usuários Da Informação - 19f3cd308f1455b3fa09a282e0d496f4
188	151	75	Desenho Técnico Mecânico - 1a0a283bfe7c549dee6c638a05200e32
189	152	79	Análise E Projeto De Algoritmos - 1a3f91fead97497b1a96d6104ad339f6
190	34	12	Formação Econômica Do Brasil - 1a68e5f4ade56ed1d4bf273e55510750
191	153	87	Termodinâmica Fundamental - 1a99f9c2c2f7d23809612e342186dcab
192	97	19	Psicologia Da Educação I - 1aa48fc4880bb0c9b8a3bf979d3b917e
194	154	76	Fenômenos De Transporte 2 - 1afa34a7f984eeabdbb0a7d494132ee5
196	136	158	Química Geral Teórica - 1b113258af3968aaf3969ca67e744ff8
197	156	40	Empreendedorismo I - 1b36ea1c9b7a1c3ad668b8bb5df7963f
198	157	154	Física Matemática Ii - 1baff70e2669e8376347efd3a874a341
199	104	4	Fotojornalismo - 1bc0249a6412ef49b07fe6f62e6dc8de
200	137	88	Patologia Humana - 1bd46d90cf3855c0b5b747cb59656c0e
201	158	83	Instalações Prediais I - Hidráulico - 1bf0c59238dd24a7f09a889483a50e8f
202	26	156	Biomedicina E Saúde Coletiva - 1c54985e4f95b7819ca0357c0cb9a09f
204	160	167	Saúde, Família E Comunidade I - 1c971df0461d476b9828f60b3285e1b2
205	161	87	Cálculo 1a - 1cc3633c579a90cfdd895e64021e2163
207	153	87	Química Orgânica 2 - 1ce1e074df7e8330c3d76ce1086b429e
208	10	142	Psicologia Da Educação Ii - 1cecc7a77928ca8133fa24680a88d2f9
212	163	161	Bioestatística - 1e056d2b0ebd5c878c550da6ac5d3724
215	133	5	Introdução Às Relações Públicas - 1e48c4420b7073bc11916c6c1de226bb
216	156	40	Pesquisa Operacional - 1e4d36177d71bbb3558e43af9577d70e
217	165	158	Sistemática De Criptógamos - 1e8c391abfde9abea82d75a2d60278d4
218	166	167	Método Clínico Iii - 1e913e1b06ead0b66e30b6867bf63549
219	109	41	Pesquisa Aplicada A Contabilidade - 1ef91c212e30e14bf125e9374262401f
220	167	142	Políticas E Gestão Da Educação - 1efa39bcaec6f3900149160693694536
221	132	157	Tópicos Em Biologia - 1f1baa5b8edac74eb4eaa329f14a0361
222	156	40	Administração De Recursos Materiais E Patrimoniais - 1f36c15d6a3d18d52e8d493bc8187cb9
223	168	158	Biologia Evolutiva - 1f4fe6a4411edc2ff625888b4093e917
224	118	167	Método Clínico I - 1f71e393b3809197ed66df836fe833e5
225	52	41	Direito Empresarial - 1fb2a1c37b18aa4611c3949d6148d0f8
228	51	110	Gerencia De Sistemas De Informação - 2050e03ca119580f74cca14cc6e97462
229	170	60	Arquitetura De Computadores - 207f88018f72237565570f8a9e5ca240
230	136	158	Biologia Celular - 20842bb7942ba45b56d90ec1d403b37c
231	171	179	Sociologia 3 - 208e43f0e45c4c78cafadb83d2888cb6
232	37	178	Estatística Aplicada Às Ciências Sociais 2 - 20aee3a5f4643755a79ee5f6a73050ac
233	172	12	Introdução Às Ciências Sociais - 20b5e1cf8694af7a3c1ba4a87f073021
235	174	87	Fundamentos De Mineralogia - 20d135f0f28185b84a4cf7aa51f29500
238	129	103	Química Geral Teoria - 217c0e01c1828e7279051f1b6675745d
239	77	58	Universidade, Cursos E Mercado De Trabalho Nas Ciências Sociais - 217e342fc01668b10cb1188d40d3370e
240	175	164	Fundamentos Filosóficos E Sócio-Hist. Da Educação - 217eedd1ba8c592db97d0dbe54c7adfc
241	176	79	Engenharia De Requisitos - 2194b3c092653850338c6923a7156726
242	177	87	Física Ii - 21be9a4bd4f81549a9d1d241981cec3c
243	178	73	Genética Molecular - 21fe5b8ba755eeaece7a450849876228
244	179	103	Biotecnologia Aplicada À Microbiologia - 221ef46fa11a0589e2bba04721110815
247	181	103	Bioquímica Metabólica - 228499b55310264a8ea0e27b6e7c6ab6
250	183	18	Biogeografia - 229754d7799160502a143a72f6789927
251	139	166	Introdução À Computação - 22fb0cee7e1f3bde58293de743871417
252	136	158	Física Aplicada À Biologia - 231141b34c82aa95e48810a9d1b33a79
253	184	13	Equações Diferenciais Ordinárias Ii - 2321994d85d661d792223f647000c65f
254	26	156	Química Geral - 234833147b97bb6aed53a8f4f1c7a7d8
257	186	157	Física Aplicada À Biologia - 23c97e9cb93576e45d2feaf00d0e8502
258	187	93	Ecofisiologia Animal - 23d2e1578544b172cca332ff74bddf5f
259	22	5	Gestão Estratégica - 24146db4eb48c718b84cae0a0799dcfc
260	188	142	Didática E Formação De Professores Do Campo - 242c100dc94f871b6d7215b868a875f8
261	109	41	Organização, Sistemas E Métodos - 2451041557a22145b3701b0184109cab
262	189	161	Parasitologia Humana - 245b1d4ab28f9f28702c03952619b2ab
263	30	155	Estágio I - 24681928425f5a9133504de568f5f6df
264	190	8	Álgebra Linear - 24896ee4c6526356cc127852413ea3b4
267	193	35	Prática De Planejamento Ambiental - 24f0d2c90473b2bc949ad962e61d9bcb
268	82	93	Ecologia Evolutiva - 253614bbac999b38b5b60cae531c4969
269	28	88	Saúde Coletiva I - 253bddabaaf1022f736d4941a4959b78
270	107	53	Microbiologia Geral - 2557911c1bf75c2b643afb4ecbfc8ec2
271	170	60	Software Básico - 2596a54cdbb555cfd09cd5d991da0f55
272	34	12	Microeconomia I - 25db67c5657914454081c6a18e93d6dd
273	194	8	Física Iii - 2612aa892d962d6f8056b195ca6e550d
274	195	103	Legislação Em Biotecnologia - Propriedade Intelectual - 26408ffa703a72e8ac0117e74ad46f33
276	84	156	Biologia Molecular - 26751be1181460baf78db8d5eb7aad39
278	71	81	Planejamento Ambiental - 26f5bd4aa64fdadf96152ca6e6408068
279	197	167	Introdução Ao Cuidar I - 2715518c875999308842e3455eda2fe3
280	198	13	Geometria Plana - 273448411df1962cba1db6c05b3213c9
282	200	167	Método Clínico I - 277a78fc05c8864a170e9a56ceeabc4c
283	201	130	Princípios Físicos De Radioterapia - 27ed0fb950b856b06e1273989422e7d3
284	202	19	Projetos Educacionais - 2823f4797102ce1a1aec05359cc16dd9
285	69	79	Interação Humano-Computador - 28264c6292054fc82af6b53efbf42833
286	136	158	Fundamentos Filosóficos E Sócio-Históricos Da Educação - 28267ab848bcf807b2ed53c3a8f8fc8a
287	203	77	Introduction To Data Science Using R - 283085d30e10513624c8cece7993f4de
289	42	19	Geometria Analítica - 288cc0ff022877bd3df94bc9360b9c5d
291	158	83	Antropologia E Sociologia Urbana - 28e209b61a52482a0ae1cb9f5959c792
293	206	41	Sistemas De Informações Contábeis - 297fa7777981f402dbba17e9f29e292d
294	207	5	Fundamentos De Administração - 298923c8190045e91288b430794814c4
295	208	91	Física 1 - 299570476c6f0309545110c592b6a63b
297	135	167	Saúde Do Adulto E Do Idoso - Sistema Urinário - 299fb2142d7de959380f91c01c3a293c
298	209	73	Introdução À Computação - 2a084e55c87b1ebcdaad1f62fdbbac8e
299	210	157	Biologia De Microrganismos - 2a1ce8a1d245daacdff8f3d6c49db795
300	12	156	Bioquímica I - 2a27b8144ac02f67687f76782a3b5d8f
301	211	153	Neuropsicologia - 2a34abd6ebbd7fcf5a4421229c946c0a
302	174	87	Introdução As Operações Unitárias - 2a79ea27c279e471f4d180b08d62b00a
303	212	12	Álgebra Linear - 2a9d121cd9c3a1832bb6d2cc6bd7a8a7
304	118	167	Corpo Humano Saudável I - 2aaaddf27344ee54058548dc081c6541
305	158	83	Instalações Prediais I - Hidráulico - 2aedcba61ca55ceb62d785c6b7f10a83
306	187	93	Ecofisiologia Animal - 2b0f658cbffd284984fb11d90254081f
308	153	87	Química Analítica Quantitativa - 2b44928ae11fb9384c4cf38708677c48
309	213	91	Química Analítica Quantitativa - 2b45c629e577731c4df84fc34f936a89
311	215	166	Cálculo 2b - 2ba596643cbbbc20318224181fa46b28
317	42	19	Cálculo Diferencial - 2ca65f58e35d9ad45bf7f3ae5cfd08f1
318	219	35	Geomorfologia I - 2cad8fa47bbef282badbb8de5374b894
319	109	41	Contabilidade Tributária - 2cb6b10338a7fc4117a80da24b582060
320	149	35	Cartografia I - 2cd4e8a2ce081c3d7c32c3cde4312ef7
321	220	43	História Da Publicidade - 2cfd4560539f887a5e420412b370b361
322	67	91	Físico-Química 2 - 2d2ca7eedf739ef4c3800713ec482e1a
323	110	79	Introdução Aos Sistemas De Informação - 2d3acd3e240c61820625fff66a19938f
324	156	40	Gestão E Planejamento Estratégico - 2d405b367158e3f12d7c1e31a96b3af3
325	221	53	Genética A - 2d969e2cee8cfa07ce7ca0bb13c7a36d
326	222	146	Psicologia Da Educação I - 2dace78f80bc92e6d7493423d729448e
327	126	13	Cálculo De Funções De Várias Variáveis - 2dcecb376dc5bea9d5bd792d3f142ba2
329	3	53	Bromatologia - 2dea61eed4bceec564a00115c4d21334
331	224	18	Fundamentos Filosóficos E Sócio-Históricos Da Educ - 2e65f2f2fdaf6c699b223c61b1b5ab89
332	225	158	Bioquímica I - 2eace51d8f796d04991c831a07059758
333	226	133	Introdução À Computação E Informação Quântica - 2f25f6e326adb93c5787175dda209ab6
334	227	137	Laboratório De Relações Internacionais Iv - 2f2b265625d76a6704b08093c652fd79
337	229	83	Cálculo 1c - 2f885d0fbe2e131bfc9d98363e55d1d4
340	230	103	Bioética - 303ed4c69846ab36c2904d3ba8573050
343	232	54	Fundam. Da Clínica Psicanalítica De Freud A Lacan - 30aaf34d6afd4b11cc3b3ac4704c7908
344	3	53	Química Ambiental Aplicada À Farmácia - 30bb3825e8f631cc6075c0f87bb4978c
346	77	58	Introdução À Metodologia Científica - 30f8f6b940d1073d8b6a5eebc46dd6e5
348	227	137	Negociações Internacionais E Processos Decisórios - 310dcbbf4cce62f762a2aaa148d556bd
349	234	79	Arquitetura De Software - 3147da8ab4a0437c15ef51a5cc7f2dc4
350	152	79	Banco De Dados 2 - 31af3f4eee69744432287b95ddedc7f5
351	207	5	Teorias Da Comunicação I - 31b3b31a1c2f8a370206f111127c0dbd
352	26	156	Química Geral - 31c97cbb941d3e92d0e6f9925e9bc4d7
353	235	137	Sociologia E Relações Internacionais - 320722549d1751cf3f247855f937b982
354	236	156	Hematologia Básica - 3210ddbeaa16948a702b6049b8d9a202
355	150	95	Teoria Da Comunicação - 3214a6d842cc69597f9edf26df552e43
356	237	74	Métodos E Ferramentas De Engenharia De Software - 321cf86b4c9f5ddd04881a44067c2a5a
357	156	40	Gestão De Projetos - 325995af77a0e8b06d1204a171010b3a
359	238	153	Introdução Aos Estudos Sobre Envelhecimento - 329e6581efbc90bd92a1f22c4ba2103d
360	239	74	Programação Orientada A Objetos - 32b991e5d77ad140559ffb95522992d0
361	117	93	Introdução À Climatologia - 3323fe11e9595c09af38fe67567a9394
362	79	155	Prática De Ensino Iii - 3328bdf9a4b9504b9398284244fe97c2
363	240	74	Gerência De Configuração De Software - 339a18def9898dd60a634b2ad8fbbd58
365	242	166	Fisiologia Do Desenvolvimento Vegetal - 33cb13d77bb67498aa863e84aaeaac44
367	68	88	Gestão Em Saúde E Enfermagem I - 33ebd5b07dc7e407752fe773eed20635
368	177	87	Estrutura E Propriedades Da Matéria - 3416a75f4cea9109507cacd8e2f2aefc
369	244	72	Desenho I - 3430095c577593aad3c39c701712bcfe
371	246	168	Desenho I - 347665597cbfaef834886adbb848011f
372	247	157	Biologia Da Conservação - 34a561392444ad5fbb35d98cb5f93f39
373	225	158	Biofísica - 350db081a661525235354dd3e19b8c05
374	135	167	Saúde Da Criança, Adolescente E Saúde Coletiva Infantil - 351b33587c5fdd93bd42ef7ac9995a28
375	248	77	Banco De Dados - 35464c848f410e55a13bb9d78e7fddd0
376	133	5	Sociologia - 3546ab441e56fa333f8b44b610d95691
378	208	91	Psicologia Da Educação 1 - 35cf8659cfcb13224cbd47863a34fc58
379	153	87	Química Orgânica 1 - 35f4a8d465e6e1edc05f3d8ab658c551
383	110	79	Algoritmos E Estruturas De Dados 1 - 365de006f6062a6b06c5fe547c30661c
387	94	154	Física Ii - 372d3f309fef061977fb2f7ba36d74d2
388	251	167	Método Clínico I - 378a063b8fdb1db941e34f4bde584c7d
389	154	76	Introdução À Ciência De Materiais - 37bc2f75bf1bcfe8450a1a41c200364c
391	98	161	Inquéritos Dietéticos - 37f0e884fbad9667e38940169d0a3c95
392	252	5	Assessoria Em Comunicação I - 3806734b256c27e41ec2c6bffa26d9e7
394	9	60	Metodologia De Pesquisa Em Computação - 3875115bacc48cca24ac51ee4b0e7975
400	5	76	Higiene E Segurança Do Trabalho - 3988c7f88ebcb58c6ce932b957b6f332
401	253	167	Saúde, Família E Comunidade I - 39ac6c2e0d42d4124947e257ee99bb2b
402	80	103	Seminários Em Biotecnologia - 3a066bda8c96b9478bb0512f0a43028c
404	42	19	Geometria Analítica - 3a835d3215755c435ef4fe9965a3f2a0
405	186	157	Anatomia Vegetal - 3b0153850e183f76f86d19e9177c0e2a
406	254	105	Introdução À Museologia - 3b5dca501ee1e6d8cd7b905f4e1bf723
407	220	43	Redação Publicitária I - 3b712de48137572f3849aabd5666a4e3
408	34	12	Economia Internacional - 3baa271bc35fe054c86928f7016e8ae6
411	137	88	Parasitologia Humana - 3c1e4bd67169b8153e0047536c9f541e
413	144	152	Tópicos De Filosofia Da Ciência - 3ca20462cb6f3160e275cef86bcb690c
414	177	87	Cálculo 2a - 3cef96dcc9b8035d23f69e30bb19218a
415	256	87	Preparo De Amostras - 3cf166c6b73f030b4f67eeaeba301103
417	195	103	Aplicações Biotecnológicas Em Imunologia - 3d2d8ccb37df977cb6d9da15b76c3f3a
418	136	158	Zoologia I - Filogenia - 3d48caede4847f6835eb62a2108d4bb5
420	127	81	Tópicos Em Geologia - 3d8590494d8c654513b4fb23424e6592
422	101	79	Gestão De Ti - 3dba45b283651c7f2d2cc974f97147d4
424	134	137	Economia I - 3de2334a314a7a72721f1f74a6cb4cee
425	213	91	Química Orgânica 1 - 3de568f8597b94bda53149c7d7f5958c
426	208	91	Cálculo 1b - 3df1d4b96d8976ff5986393e8767f5b2
427	259	12	Mercado De Derivativos I - 3e7e0224018ab3cf51abb96464d518cd
431	261	36	Climatologia I - 3f53d7190148675e3cd472fc826828c5
432	262	1	Tópicos Em Geologia 1 - 3f67fd97162d20e6fe27748b5b372509
433	263	77	Estatística I - 3f998e713a6e02287c374fd26835d87e
436	235	137	Política Internacional Contemporânea - 3fe94a002317b5f9259f82690aeea4cd
437	156	40	Análise Multivariada Aplicada À Administração - 405e28906322882c5be9b4b27f4c35fd
438	265	142	Fundamentos Filosóficos E Sócio Históricos Da Educação - 4079016d940210b4ae9ae7d41c4a2065
439	116	18	Trabalho De Conclusão De Curso I - 40b5f25a228570053bc64a043c3f1833
440	144	152	Estética - 40b88a397025e8e7b01538e39d1153f9
441	82	93	Plantas Criptogâmicas - 40c48dab939a482f04dcecde07e27de6
442	144	152	Tópicos De Filosofia I - 40f3b627f54d64dc0ae9d5835399c5c1
444	266	167	Método Clínico Iii - 414e773d5b7e5c06d564f594bf6384d0
445	267	166	Química Geral - 415e1af7ea95f89f4e375162b21ae38c
448	5	76	Modelagem E Simulação De Processos - 42a0e188f5033bc65bf8d78622277c4e
449	26	156	Biomedicina E Saúde Coletiva - 42a3964579017f3cb42b26605b9ae8ef
451	269	167	Saúde Do Adulto E Do Idoso - Sistema Locomotor, Cirurgia Plástica E Geriatria/Cuidados Paliativos - 42ffcf057e133f94c1b7b5cf543ef3bd
453	94	154	Cálculo Numérico - 430c3626b879b4005d41b8a46172e0c0
454	143	137	Probabilidade E Estatística - 4311359ed4969e8401880e3c1836fbe1
455	270	91	Química Fundamental - 43351f7bf9a215be70c2c2caa7555002
457	104	4	Fotojornalismo - 43dd49b4fdb9bede653e94468ff8df1e
458	184	13	Álgebra Ii - 43e4e6a6f341e00671e123714de019a8
