#ID	Group	Solicit	Course	Entity	Day	Hour	Bld	Type Cap
164 40 42 167 29 3 5 5 1 45
165 40 42 167 29 3 6 5 1 45
166 40 42 167 29 4 4 5 1 45
167 40 42 167 29 4 5 5 1 45
168 40 42 167 29 4 6 5 1 45
169 40 42 167 29 5 4 5 1 45
170 40 42 167 29 5 5 5 1 45
171 40 42 167 29 5 6 5 1 45
172 41 43 40 13 4 14 2 2 45
173 41 43 40 13 4 15 2 2 45
174 41 43 40 13 4 16 2 2 45
175 41 43 40 13 4 17 2 2 45
176 42 44 19 38 2 16 2 1 45
177 42 44 19 38 2 17 2 1 45
178 43 45 41 13 4 4 2 1 45
179 43 45 41 13 4 5 2 1 45
180 43 45 41 13 6 4 2 1 45
181 43 45 41 13 6 5 2 1 45
182 44 46 177 12 3 4 2 1 45
183 44 46 177 12 3 5 2 1 45
184 44 46 177 12 5 2 2 1 45
185 44 46 177 12 5 3 2 1 45
186 34 47 12 13 6 2 2 1 45
187 34 47 12 13 6 3 2 1 45
188 34 47 12 13 6 4 2 1 45
189 34 47 12 13 6 5 2 1 45
190 45 48 83 17 2 2 4 3 45
191 45 48 83 17 2 3 4 3 45
192 45 48 83 17 2 4 4 3 45
193 45 48 83 17 2 5 4 3 45
194 45 48 83 17 5 2 4 3 45
195 45 48 83 17 5 3 4 3 45
196 45 48 83 17 5 4 4 3 45
197 45 48 83 17 5 5 4 3 45
198 43 49 41 13 2 4 2 1 45
199 43 49 41 13 2 5 2 1 45
200 43 49 41 13 6 2 2 1 45
201 43 49 41 13 6 3 2 1 45
206 47 51 18 33 5 2 4 1 45
207 47 51 18 33 5 3 4 1 45
208 47 51 18 33 5 4 4 1 45
209 47 51 18 33 5 5 4 1 45
210 48 52 8 8 6 8 5 1 45
211 48 52 8 8 6 9 5 1 45
212 48 52 8 8 6 10 5 1 45
213 48 52 8 8 6 11 5 1 45
214 49 53 166 8 3 8 1 1 45
215 49 53 166 8 3 9 1 1 45
216 49 53 166 8 3 10 1 1 45
217 49 53 166 8 3 11 1 1 45
218 22 54 5 27 5 8 4 1 45
219 22 54 5 27 5 9 4 1 45
220 22 54 5 27 5 10 4 1 45
221 22 54 5 27 5 11 4 1 45
222 50 55 103 42 3 8 2 1 45
223 50 55 103 42 3 9 2 1 45
228 17 57 178 18 4 2 4 1 45
229 17 57 178 18 4 3 4 1 45
230 17 57 178 18 4 4 4 1 45
231 17 57 178 18 4 5 4 1 45
232 52 58 41 13 3 2 2 1 45
233 52 58 41 13 3 3 2 1 45
234 52 58 41 13 5 2 2 1 45
235 52 58 41 13 5 3 2 1 45
242 55 61 142 14 5 15 17 1 45
243 55 61 142 14 5 16 17 1 45
244 55 61 142 14 5 17 17 1 45
245 55 61 142 14 5 17 17 1 45
246 56 62 155 34 3 4 1 1 45
247 56 62 155 34 3 5 1 1 45
248 56 62 155 34 5 4 1 1 45
249 56 62 155 34 5 5 1 1 45
250 57 63 5 27 3 2 4 1 45
251 57 63 5 27 3 3 4 1 45
252 57 63 5 27 3 4 4 1 45
253 57 63 5 27 3 5 4 1 45
254 58 64 41 13 4 16 2 1 45
255 58 64 41 13 4 17 2 1 45
256 58 64 41 13 6 16 2 1 45
257 58 64 41 13 6 17 2 1 45
258 59 65 133 34 2 8 1 1 45
259 59 65 133 34 2 9 1 1 45
260 59 65 133 34 4 8 1 1 45
261 59 65 133 34 4 9 1 1 45
266 61 67 180 31 2 10 17 1 45
267 61 67 180 31 2 11 17 1 45
268 61 67 180 31 2 12 17 1 45
269 61 67 180 31 6 4 17 1 45
270 61 67 180 31 6 5 17 1 45
271 61 67 180 31 6 6 17 1 45
276 63 69 179 18 3 14 4 1 45
277 63 69 179 18 3 15 4 1 45
278 63 69 179 18 3 16 4 1 45
279 63 69 179 18 3 17 4 1 45
282 17 71 178 18 3 2 4 1 45
283 17 71 178 18 3 3 4 1 45
284 17 71 178 18 3 4 4 1 45
285 17 71 178 18 3 5 4 1 45
286 65 72 167 29 5 2 5 1 45
287 65 72 167 29 5 1 5 1 45
288 66 73 48 35 6 12 18 1 45
289 66 73 48 35 6 13 18 1 45
290 67 74 91 43 6 14 2 1 45
291 67 74 91 43 6 15 2 1 45
292 67 74 91 43 6 16 2 1 45
293 67 74 91 43 6 17 2 1 45
294 68 75 88 31 2 2 17 1 45
295 68 75 88 31 2 3 17 1 45
296 68 75 88 31 2 4 17 1 45
297 68 75 88 31 2 5 17 1 45
298 68 75 88 31 2 8 17 1 45
299 68 75 88 31 2 9 17 1 45
300 68 75 88 31 2 10 17 1 45
301 68 75 88 31 2 1 17 1 45
302 68 75 88 31 3 2 17 1 45
303 68 75 88 31 3 3 17 1 45
304 68 75 88 31 3 4 17 1 45
305 68 75 88 31 3 5 17 1 45
306 68 75 88 31 3 1 17 1 45
307 68 75 88 31 4 2 17 1 45
308 68 75 88 31 4 3 17 1 45
309 68 75 88 31 4 4 17 1 45
310 68 75 88 31 4 5 17 1 45
311 68 75 88 31 4 1 17 1 45
312 69 76 79 40 4 14 2 1 45
313 69 76 79 40 4 15 2 1 45
314 69 76 79 40 4 16 2 1 45
315 69 76 79 40 4 17 2 1 45
316 70 77 158 32 2 8 1 1 45
317 70 77 158 32 2 9 1 1 45
318 70 77 158 32 2 10 1 1 45
319 70 77 158 32 2 11 1 1 45
320 71 78 81 33 2 8 4 1 45
321 71 78 81 33 2 9 4 1 45
322 71 78 81 33 2 10 4 1 45
323 71 78 81 33 2 11 4 1 45
324 72 79 180 31 2 7 17 1 45
325 72 79 180 31 2 7 17 1 45
326 72 79 180 31 2 9 17 1 45
327 72 79 180 31 6 1 17 1 45
328 72 79 180 31 6 2 17 1 45
329 72 79 180 31 6 3 17 1 45
330 73 80 182 18 5 14 4 1 45
331 73 80 182 18 5 15 4 1 45
332 73 80 182 18 5 16 4 1 45
333 73 80 182 18 5 17 4 1 45
334 74 81 74 40 4 14 15 2 45
335 74 81 74 40 4 15 15 2 45
336 74 81 74 40 4 16 15 2 45
337 74 81 74 40 4 17 15 2 45
338 74 81 74 40 6 14 15 2 45
339 74 81 74 40 6 15 15 2 45
340 74 81 74 40 6 16 15 2 45
341 74 81 74 40 6 17 15 2 45
342 75 82 4 27 3 8 4 1 45
343 75 82 4 27 3 9 4 1 45
344 75 82 4 27 3 10 4 1 45
345 75 82 4 27 3 11 4 1 45
350 77 84 58 18 4 2 4 1 45
351 77 84 58 18 4 3 4 1 45
352 77 84 58 18 4 4 4 1 45
353 77 84 58 18 4 5 4 1 45
354 28 85 88 31 4 2 17 1 45
355 28 85 88 31 4 3 17 1 45
356 28 85 88 31 4 4 17 1 45
357 28 85 88 31 4 5 17 1 45
358 28 85 88 31 4 1 17 1 45
359 28 85 88 31 6 8 17 1 45
360 28 85 88 31 6 9 17 1 45
361 28 85 88 31 6 10 17 1 45
362 28 85 88 31 6 11 17 1 45
367 79 87 155 34 2 16 1 1 45
368 79 87 155 34 2 17 1 1 45
369 79 87 155 34 4 16 1 1 45
370 79 87 155 34 4 17 1 1 45
371 80 88 103 42 5 2 5 1 45
372 80 88 103 42 5 3 5 1 45
373 80 88 103 42 5 4 5 1 45
374 80 88 103 42 5 5 5 1 45
375 81 89 77 38 2 16 4 2 45
376 81 89 77 38 2 17 4 2 45
377 81 89 77 38 4 16 4 1 45
378 81 89 77 38 4 17 4 1 45
379 81 89 77 38 6 14 4 1 45
380 81 89 77 38 6 15 4 1 45
381 82 90 93 32 4 4 1 2 45
382 82 90 93 32 4 5 1 2 45
383 83 91 60 40 2 8 2 2 45
384 83 91 60 40 2 9 2 2 45
385 83 91 60 40 2 10 2 2 45
386 83 91 60 40 2 11 2 2 45
387 83 91 60 40 5 8 2 2 45
388 83 91 60 40 5 9 2 2 45
389 83 91 60 40 5 10 2 2 45
390 83 91 60 40 5 11 2 2 45
391 80 92 103 42 4 4 5 1 45
392 80 92 103 42 4 5 5 1 45
393 80 92 103 42 4 8 5 1 45
394 80 92 103 42 4 9 5 1 45
395 84 93 156 32 2 4 5 1 45
396 84 93 156 32 2 5 5 1 45
401 86 95 119 41 2 2 17 1 45
402 86 95 119 41 2 3 17 1 45
403 86 95 119 41 2 4 17 1 45
404 86 95 119 41 2 5 17 1 45
405 8 96 161 16 3 4 2 1 45
406 8 96 161 16 3 5 2 1 45
411 65 98 167 29 3 4 5 1 45
412 65 98 167 29 3 5 5 1 45
413 65 98 167 29 3 6 5 1 45
414 65 98 167 29 4 4 5 1 45
415 65 98 167 29 4 5 5 1 45
416 65 98 167 29 4 6 5 1 45
417 65 98 167 29 5 4 5 1 45
418 65 98 167 29 5 5 5 1 45
419 65 98 167 29 5 6 5 1 45
420 55 99 142 14 4 12 17 1 45
421 55 99 142 14 4 13 17 1 45
422 55 99 142 14 4 15 17 1 45
423 55 99 142 14 4 16 17 1 45
424 55 99 142 14 4 17 17 1 45
425 55 99 142 14 4 17 17 1 45
426 88 100 41 13 2 14 2 1 45
427 88 100 41 13 2 15 2 1 45
428 88 100 41 13 4 14 2 1 45
429 88 100 41 13 4 15 2 1 45
434 13 102 43 27 2 2 4 1 45
435 13 102 43 27 2 3 4 1 45
436 13 102 43 27 2 4 4 1 45
437 13 102 43 27 2 5 4 1 45
438 90 103 156 32 3 2 1 1 45
439 90 103 156 32 3 3 1 1 45
440 90 103 156 32 3 4 1 1 45
441 90 103 156 32 3 5 1 1 45
449 93 107 18 33 6 2 4 1 45
450 93 107 18 33 6 3 4 1 45
451 93 107 18 33 6 4 4 1 45
452 93 107 18 33 6 5 4 1 45
453 94 108 154 34 2 8 1 1 45
454 94 108 154 34 2 9 1 1 45
455 94 108 154 34 4 8 1 1 45
456 94 108 154 34 4 9 1 1 45
461 96 110 103 42 2 8 5 1 45
462 96 110 103 42 2 9 5 1 45
463 96 110 103 42 2 10 5 1 45
464 96 110 103 42 2 11 5 1 45
465 97 111 19 38 3 8 2 1 45
466 97 111 19 38 3 9 2 1 45
467 97 111 19 38 5 8 2 1 45
468 97 111 19 38 5 9 2 1 45
469 98 112 161 16 2 8 5 1 45
470 98 112 161 16 2 9 5 1 45
471 98 112 161 16 2 10 5 1 45
472 98 112 161 16 2 11 5 1 45
473 99 113 155 34 2 14 1 1 45
474 99 113 155 34 2 15 1 1 45
475 99 113 155 34 4 14 1 1 45
476 99 113 155 34 4 15 1 1 45
481 30 115 155 34 2 14 1 1 45
482 30 115 155 34 2 15 1 1 45
483 30 115 155 34 4 14 1 1 45
484 30 115 155 34 4 15 1 1 45
485 26 116 156 32 5 8 1 1 45
486 26 116 156 32 5 9 1 1 45
487 101 117 79 40 4 14 2 1 45
488 101 117 79 40 4 15 2 1 45
489 101 117 79 40 4 16 2 1 45
490 101 117 79 40 4 17 2 1 45
491 102 118 40 13 3 16 2 1 45
492 102 118 40 13 3 17 2 1 45
493 102 118 40 13 6 16 2 1 45
494 102 118 40 13 6 17 2 1 45
495 103 119 95 27 4 2 4 1 45
496 103 119 95 27 4 3 4 1 45
497 103 119 95 27 4 4 4 1 45
498 103 119 95 27 4 5 4 1 45
503 104 121 4 27 2 8 4 1 45
504 104 121 4 27 2 9 4 1 45
505 104 121 4 27 2 10 4 1 45
506 104 121 4 27 2 11 4 1 45
507 34 122 12 13 3 4 2 2 45
508 34 122 12 13 3 5 2 2 45
509 34 122 12 13 5 4 2 2 45
510 34 122 12 13 5 5 2 2 45
511 105 123 29 22 5 14 5 1 45
512 105 123 29 22 5 15 5 1 45
513 105 123 29 22 5 16 5 1 45
514 105 123 29 22 5 17 5 1 45
515 106 124 18 33 5 2 4 1 45
516 106 124 18 33 5 3 4 1 45
517 106 124 18 33 5 4 4 1 45
518 106 124 18 33 5 5 4 1 45
519 107 125 53 25 2 2 5 1 45
520 107 125 53 25 2 3 5 1 45
521 107 125 53 25 3 2 5 1 45
522 107 125 53 25 3 3 5 1 45
525 109 127 41 13 5 16 2 1 45
526 109 127 41 13 5 17 2 1 45
527 110 128 79 40 2 14 2 1 45
528 110 128 79 40 2 15 2 1 45
529 110 128 79 40 4 14 2 1 45
530 110 128 79 40 4 15 2 1 45
531 111 129 79 40 2 14 2 1 45
532 111 129 79 40 2 15 2 1 45
533 111 129 79 40 2 16 2 1 45
534 111 129 79 40 2 17 2 1 45
538 113 131 177 12 2 2 5 1 45
539 113 131 177 12 2 3 5 1 45
540 113 131 177 12 4 2 5 1 45
541 113 131 177 12 4 3 5 1 45
542 114 132 68 24 6 3 17 1 45
543 114 132 68 24 6 4 17 1 45
544 114 132 68 24 6 7 17 1 45
545 114 132 68 24 6 7 17 1 45
546 115 133 77 38 3 10 4 1 45
547 115 133 77 38 3 11 4 1 45
548 115 133 77 38 5 10 4 1 45
549 115 133 77 38 5 11 4 1 45
550 116 134 18 33 3 2 4 1 45
551 116 134 18 33 3 3 4 1 45
552 116 134 18 33 3 4 4 1 45
553 116 134 18 33 3 5 4 1 45
554 116 134 18 33 4 2 4 1 45
555 116 134 18 33 4 3 4 1 45
556 116 134 18 33 4 4 4 1 45
557 116 134 18 33 4 5 4 1 45
558 117 135 93 32 6 2 2 1 45
559 117 135 93 32 6 3 2 1 45
560 117 135 93 32 6 4 2 1 45
561 117 135 93 32 6 5 2 1 45
562 118 136 167 29 6 2 5 1 45
563 118 136 167 29 6 3 5 1 45
564 118 136 167 29 6 4 5 1 45
565 118 136 167 29 6 5 5 1 45
566 118 136 167 29 6 8 5 1 45
567 118 136 167 29 6 9 5 1 45
568 118 136 167 29 6 10 5 1 45
577 120 138 87 43 2 2 1 1 45
578 120 138 87 43 2 3 1 1 45
579 120 138 87 43 4 2 1 1 45
580 120 138 87 43 4 3 1 1 45
581 121 139 53 25 2 8 5 1 45
582 121 139 53 25 2 9 5 1 45
583 121 139 53 25 2 10 5 1 45
584 121 139 53 25 2 11 5 1 45
585 121 139 53 25 2 7 5 1 45
586 122 140 167 29 6 2 5 1 45
587 122 140 167 29 6 1 5 1 45
588 3 141 53 25 2 4 5 1 45
589 3 141 53 25 2 5 5 1 45
590 3 141 53 25 2 6 5 1 45
591 123 142 154 34 2 4 1 1 45
592 123 142 154 34 2 5 1 1 45
593 123 142 154 34 4 4 1 1 45
594 123 142 154 34 4 5 1 1 45
603 77 145 58 18 4 2 4 1 45
604 77 145 58 18 4 3 4 1 45
605 77 145 58 18 4 4 4 1 45
606 77 145 58 18 4 5 4 1 45
607 109 146 41 13 3 14 2 1 45
608 109 146 41 13 3 15 2 1 45
609 109 146 41 13 5 14 2 1 45
610 109 146 41 13 5 15 2 1 45
611 126 147 13 38 2 10 2 1 45
612 126 147 13 38 2 11 2 1 45
613 126 147 13 38 4 10 2 1 45
614 126 147 13 38 4 11 2 1 45
615 127 148 81 33 6 2 4 1 45
616 127 148 81 33 6 3 4 1 45
617 127 148 81 33 6 4 4 1 45
618 127 148 81 33 6 5 4 1 45
619 28 149 88 31 4 2 17 1 45
620 28 149 88 31 4 3 17 1 45
621 28 149 88 31 4 4 17 1 45
622 28 149 88 31 4 5 17 1 45
623 28 149 88 31 6 8 17 1 45
624 28 149 88 31 6 9 17 1 45
625 28 149 88 31 6 10 17 1 45
626 28 149 88 31 6 11 17 1 45
631 129 151 103 42 5 2 4 1 45
632 129 151 103 42 5 3 4 1 45
633 129 151 103 42 5 4 4 1 45
634 129 151 103 42 5 5 4 1 45
635 130 152 7 30 4 2 1 1 45
636 130 152 7 30 4 3 1 1 45
637 130 152 7 30 5 2 1 1 45
638 130 152 7 30 5 3 1 1 45
639 130 152 7 30 5 4 1 1 45
640 131 153 12 13 5 2 2 1 45
641 131 153 12 13 5 3 2 1 45
642 131 153 12 13 5 4 2 1 45
643 131 153 12 13 5 5 2 1 45
644 132 154 157 32 6 2 1 1 45
645 132 154 157 32 6 3 1 1 45
646 133 155 5 27 2 2 4 1 45
647 133 155 5 27 2 3 4 1 45
648 133 155 5 27 2 4 4 1 45
649 133 155 5 27 2 5 4 1 45
650 134 156 137 18 2 4 1 1 45
651 134 156 137 18 2 5 1 1 45
652 134 156 137 18 5 4 1 1 45
653 134 156 137 18 5 5 1 1 45
654 135 157 167 29 2 8 5 1 45
655 135 157 167 29 2 9 5 1 45
656 135 157 167 29 2 10 5 1 45
657 135 157 167 29 2 11 5 1 45
658 135 157 167 29 3 8 5 1 45
659 135 157 167 29 3 9 5 1 45
660 135 157 167 29 3 10 5 1 45
661 135 157 167 29 3 11 5 1 45
662 135 157 167 29 4 8 5 1 45
663 135 157 167 29 4 9 5 1 45
664 135 157 167 29 4 10 5 1 45
665 135 157 167 29 4 11 5 1 45
666 135 157 167 29 5 8 5 1 45
667 135 157 167 29 5 9 5 1 45
668 135 157 167 29 5 10 5 1 45
669 135 157 167 29 5 11 5 1 45
670 136 158 158 32 2 8 1 1 45
671 136 158 158 32 2 9 1 1 45
672 136 158 158 32 2 10 1 1 45
673 116 159 18 33 2 2 4 1 45
674 116 159 18 33 2 3 4 1 45
675 116 159 18 33 2 4 4 1 45
676 116 159 18 33 2 5 4 1 45
679 138 161 12 13 3 14 2 1 45
680 138 161 12 13 3 15 2 1 45
681 138 161 12 13 5 14 2 1 45
682 138 161 12 13 5 15 2 1 45
689 77 163 58 18 2 2 4 1 45
690 77 163 58 18 2 3 4 1 45
691 77 163 58 18 2 4 4 1 45
692 77 163 58 18 2 5 4 1 45
693 139 164 166 8 4 10 2 1 45
694 139 164 166 8 4 11 2 1 45
695 139 164 166 8 6 10 2 1 45
696 139 164 166 8 6 11 2 1 45
697 140 165 157 32 3 4 1 1 45
698 140 165 157 32 3 5 1 1 45
699 140 165 157 32 5 4 1 1 45
700 140 165 157 32 5 5 1 1 45
706 123 167 154 34 2 2 1 1 45
707 123 167 154 34 2 3 1 1 45
708 123 167 154 34 4 2 1 1 45
709 123 167 154 34 4 3 1 1 45
716 141 170 161 16 4 4 1 1 45
717 141 170 161 16 4 5 1 1 45
718 133 171 5 27 4 8 4 1 45
719 133 171 5 27 4 9 4 1 45
720 133 171 5 27 4 10 4 1 45
721 133 171 5 27 4 11 4 1 45
722 142 172 74 40 6 16 2 1 45
723 142 172 74 40 6 17 2 1 45
724 51 173 110 27 6 2 2 2 45
725 51 173 110 27 6 3 2 2 45
726 51 173 110 27 6 4 2 2 45
727 51 173 110 27 6 5 2 2 45
728 143 174 137 18 3 2 4 1 45
729 143 174 137 18 3 3 4 1 45
730 143 174 137 18 5 2 4 1 45
731 143 174 137 18 5 3 4 1 45
732 144 175 152 15 2 14 4 1 45
733 144 175 152 15 2 15 4 1 45
734 144 175 152 15 2 16 4 1 45
735 144 175 152 15 2 17 4 1 45
736 141 176 161 16 2 4 1 1 45
737 141 176 161 16 2 5 1 1 45
738 141 176 161 16 6 8 1 1 45
739 141 176 161 16 6 10 1 1 45
744 145 178 133 34 3 4 1 1 45
745 145 178 133 34 3 5 1 1 45
746 145 178 133 34 5 4 1 1 45
747 145 178 133 34 5 5 1 1 45
748 63 179 179 18 3 2 4 1 45
749 63 179 179 18 3 3 4 1 45
750 63 179 179 18 3 4 4 1 45
751 63 179 179 18 3 5 4 1 45
752 146 180 137 18 5 8 4 1 45
753 146 180 137 18 5 9 4 1 45
754 146 180 137 18 5 10 4 1 45
755 146 180 137 18 5 11 4 1 45
756 19 181 117 17 5 2 4 1 45
757 19 181 117 17 5 3 4 1 45
758 19 181 117 17 5 4 4 1 45
759 19 181 117 17 5 5 4 1 45
760 147 182 103 42 3 14 5 1 45
761 147 182 103 42 3 15 5 1 45
762 148 183 78 21 3 14 5 1 45
763 148 183 78 21 3 15 5 1 45
764 148 183 78 21 3 16 5 1 45
765 148 183 78 21 3 17 5 1 45
766 149 184 35 33 3 2 4 1 45
767 149 184 35 33 3 3 4 1 45
768 149 184 35 33 3 4 4 1 45
769 149 184 35 33 3 5 4 1 45
770 150 185 95 27 6 2 4 1 45
771 150 185 95 27 6 3 4 1 45
772 150 185 95 27 6 4 4 1 45
773 150 185 95 27 6 5 4 1 45
774 141 186 161 16 2 2 1 1 45
775 141 186 161 16 2 3 1 1 45
776 141 186 161 16 6 4 1 1 45
777 141 186 161 16 6 5 1 1 45
778 141 186 161 16 6 6 1 1 45
779 51 187 110 27 2 4 4 1 45
780 51 187 110 27 2 5 4 1 45
781 51 187 110 27 5 4 4 1 45
782 51 187 110 27 5 5 4 1 45
783 151 188 75 11 2 9 5 3 45
784 151 188 75 11 2 10 5 3 45
785 151 188 75 11 4 9 5 3 45
786 151 188 75 11 4 10 5 3 45
787 152 189 79 40 3 14 2 1 45
788 152 189 79 40 3 15 2 1 45
789 152 189 79 40 3 16 2 1 45
790 152 189 79 40 3 17 2 1 45
791 34 190 12 13 5 14 2 1 45
792 34 190 12 13 5 15 2 1 45
793 34 190 12 13 5 16 2 1 45
794 34 190 12 13 5 17 2 1 45
795 153 191 87 43 2 2 1 1 45
796 153 191 87 43 2 3 1 1 45
797 153 191 87 43 4 2 1 1 45
798 153 191 87 43 4 3 1 1 45
799 97 192 19 38 3 16 2 1 45
800 97 192 19 38 3 17 2 1 45
801 97 192 19 38 5 16 2 1 45
802 97 192 19 38 5 17 2 1 45
805 154 194 76 43 3 8 1 1 45
806 154 194 76 43 3 9 1 1 45
807 154 194 76 43 5 8 1 1 45
808 154 194 76 43 5 9 1 1 45
813 136 196 158 32 3 16 1 1 45
814 136 196 158 32 3 17 1 1 45
815 156 197 40 13 5 14 2 2 45
816 156 197 40 13 5 15 2 2 45
817 156 197 40 13 5 16 2 2 45
818 156 197 40 13 5 17 2 2 45
819 157 198 154 34 3 2 1 1 45
820 157 198 154 34 3 3 1 1 45
821 157 198 154 34 5 2 1 1 45
822 157 198 154 34 5 3 1 1 45
823 104 199 4 27 3 8 4 1 45
824 104 199 4 27 3 9 4 1 45
825 104 199 4 27 3 10 4 1 45
826 104 199 4 27 3 11 4 1 45
827 137 200 88 31 5 7 17 1 45
828 137 200 88 31 5 7 17 1 45
829 137 200 88 31 5 9 17 1 45
830 158 201 83 17 4 2 5 1 45
831 158 201 83 17 4 3 5 1 45
832 26 202 156 32 3 4 1 1 45
833 26 202 156 32 3 5 1 1 45
838 160 204 167 29 3 8 5 1 45
839 160 204 167 29 3 9 5 1 45
840 160 204 167 29 3 10 5 1 45
841 160 204 167 29 3 11 5 1 45
842 161 205 87 43 2 2 1 1 45
843 161 205 87 43 2 3 1 1 45
844 161 205 87 43 4 2 1 1 45
845 161 205 87 43 4 3 1 1 45
846 161 205 87 43 6 2 1 1 45
847 161 205 87 43 6 3 1 1 45
852 153 207 87 43 3 2 1 1 45
853 153 207 87 43 3 3 1 1 45
854 153 207 87 43 5 2 1 1 45
855 153 207 87 43 5 3 1 1 45
856 10 208 142 14 4 15 17 1 45
857 10 208 142 14 4 16 17 1 45
858 10 208 142 14 4 17 17 1 45
859 10 208 142 14 4 17 17 1 45
871 163 212 161 16 4 10 5 1 45
872 163 212 161 16 4 11 5 1 45
873 163 212 161 16 6 10 5 1 45
874 163 212 161 16 6 11 5 1 45
885 133 215 5 27 2 2 4 1 45
886 133 215 5 27 2 3 4 1 45
887 133 215 5 27 2 4 4 1 45
888 133 215 5 27 2 5 4 1 45
889 156 216 40 13 4 14 2 1 45
890 156 216 40 13 4 15 2 1 45
891 156 216 40 13 4 16 2 1 45
