Sala: 101 , Prédio: CAA , Segunda,Terca,Quarta,Quinta,Sexta,Sabado,Domingo
07:10:00 - 08:00:00 , , , , , , 
Sala: 103 , Prédio: CAA , Segunda,Terca,Quarta,Quinta,Sexta,Sabado,Domingo
07:10:00 - 08:00:00 , , , , , , 
08:00:00 - 08:50:00 , , Introdução À Física Nuclear E De Partículas , Administração , Radiobiologia , Física Aplicada À Biologia , Promoção Da Saúde I 
08:50:00 - 09:40:00 , , Introdução À Física Nuclear E De Partículas , Administração , Radiobiologia , Física Aplicada À Biologia , Promoção Da Saúde I 
10:00:00 - 10:50:00 , , Álgebra Linear , Psicologia Da Educação Ii , Radiobiologia , Psicologia Da Educação Ii , Promoção Da Saúde I 
10:50:00 - 11:40:00 , , Álgebra Linear , Psicologia Da Educação Ii , Radiobiologia , Psicologia Da Educação Ii , Promoção Da Saúde I 
11:40:00 - 12:30:00 , , , , , , Promoção Da Saúde I 
13:10:00 - 14:00:00 , , , Farmacobotânica , , , 
14:00:00 - 14:50:00 , , Desenvolvimento De Projeto , Circuitos Elétricos 1 , Desenvolvimento De Projeto , Introdução À Física Nuclear E De Partículas , Introdução À Instrumentação Biomédica 
14:50:00 - 15:40:00 , , Desenvolvimento De Projeto , Circuitos Elétricos 1 , Desenvolvimento De Projeto , Introdução À Física Nuclear E De Partículas , Introdução À Instrumentação Biomédica 
16:00:00 - 16:50:00 , , Introdução À Física Nuclear E De Partículas , Cálculo 1c , Introdução À Física Nuclear E De Partículas , Fisiologia Do Metabolismo Vegetal , Desenvolvimento De Projeto 
16:50:00 - 17:40:00 , , Introdução À Física Nuclear E De Partículas , Cálculo 1c , Introdução À Física Nuclear E De Partículas , Fisiologia Do Metabolismo Vegetal , Desenvolvimento De Projeto 
17:40:00 - 18:30:00 , , , , , , 
18:05:00 - 18:50:00 , , , , , , 
18:50:00 - 19:35:00 , , História Dos Museus , Química Orgânica 1 , , Química Orgânica 1 , 
19:35:00 - 20:20:00 , , História Dos Museus , Química Orgânica 1 , , Química Orgânica 1 , 
20:30:00 - 21:15:00 , , Mecânica Clássica I , Termodinâmica , Mecânica Clássica I , Termodinâmica , 
21:15:00 - 22:00:00 , , Mecânica Clássica I , Termodinâmica , Mecânica Clássica I , Termodinâmica , 
Sala: 104 , Prédio: CAB , Segunda,Terca,Quarta,Quinta,Sexta,Sabado,Domingo
07:10:00 - 08:00:00 , , , , , , 
08:00:00 - 08:50:00 , , , , , , 
08:50:00 - 09:40:00 , , , , , , 
10:00:00 - 10:50:00 , , , , , , 
10:50:00 - 11:40:00 , , , , , , 
11:40:00 - 12:30:00 , , , , , , 
13:10:00 - 14:00:00 , , , , , , 
14:00:00 - 14:50:00 , , , , , , 
14:50:00 - 15:40:00 , , , , , , 
16:00:00 - 16:50:00 , , , , , , 
16:50:00 - 17:40:00 , , , , , , 
17:40:00 - 18:30:00 , , , , , , 
18:05:00 - 18:50:00 , , , , , , 
18:50:00 - 19:35:00 , , , , , , 
19:35:00 - 20:20:00 , , , , , , 
20:30:00 - 21:15:00 , , , , , , 
21:15:00 - 22:00:00 , , , , , , 
Sala: 106 , Prédio: CAA , Segunda,Terca,Quarta,Quinta,Sexta,Sabado,Domingo
07:10:00 - 08:00:00 , , , , , , 
08:00:00 - 08:50:00 , , , , , , Mercadologia 
08:50:00 - 09:40:00 , , , , , , Mercadologia 
10:00:00 - 10:50:00 , , , , , , 
10:50:00 - 11:40:00 , , , , , , 
11:40:00 - 12:30:00 , , , , , , 
13:10:00 - 14:00:00 , , , , , , 
14:00:00 - 14:50:00 , , , , , , 
14:50:00 - 15:40:00 , , , , , , 
16:00:00 - 16:50:00 , , , , , , 
16:50:00 - 17:40:00 , , , , , , 
17:40:00 - 18:30:00 , , , , , , 
18:05:00 - 18:50:00 , , , , , , 
18:50:00 - 19:35:00 , , , , , , 
19:35:00 - 20:20:00 , , , , , , 
20:30:00 - 21:15:00 , , , , , , 
21:15:00 - 22:00:00 , , , , , , 
Sala: 107 , Prédio: CAA , Segunda,Terca,Quarta,Quinta,Sexta,Sabado,Domingo
07:10:00 - 08:00:00 , , , , , , 
08:00:00 - 08:50:00 , , Mecânica Clássica Ii , , Mecânica Clássica Ii , Biologia Parasitária , 
08:50:00 - 09:40:00 , , Mecânica Clássica Ii , , Mecânica Clássica Ii , Biologia Parasitária , 
10:00:00 - 10:50:00 , , , , Metodologia Científica E Filosofia Da Ciência , Biologia Parasitária , 
10:50:00 - 11:40:00 , , , , Metodologia Científica E Filosofia Da Ciência , Biologia Parasitária , 
11:40:00 - 12:30:00 , , , , , , 
13:10:00 - 14:00:00 , , , , , , 
14:00:00 - 14:50:00 , , , , , , 
14:50:00 - 15:40:00 , , , , , , 
16:00:00 - 16:50:00 , , , , , , 
16:50:00 - 17:40:00 , , , , , , 
17:40:00 - 18:30:00 , , , , , , 
18:05:00 - 18:50:00 , , , , , , 
18:50:00 - 19:35:00 , , , , , , 
19:35:00 - 20:20:00 , , , , , , 
20:30:00 - 21:15:00 , , , , , , 
21:15:00 - 22:00:00 , , , , , , 
Sala: 108 , Prédio: CAA , Segunda,Terca,Quarta,Quinta,Sexta,Sabado,Domingo
07:10:00 - 08:00:00 , , , , , , 
08:00:00 - 08:50:00 , , Administração Da Produção E Operações , Tópicos Em Fisiologia , Políticas Educacionais No Brasil , Administração Da Produção E Operações , Introdução À Computação 
08:50:00 - 09:40:00 , , Administração Da Produção E Operações , Tópicos Em Fisiologia , Políticas Educacionais No Brasil , Administração Da Produção E Operações , Introdução À Computação 
10:00:00 - 10:50:00 , , Administração Da Produção E Operações , Tópicos Em Fisiologia , Administração Da Produção E Operações , Administração , Metodologia Científica E Filosofia Da Ciência 
10:50:00 - 11:40:00 , , Operações Unitárias 1 , Tópicos Em Fisiologia , Administração Da Produção E Operações , Administração , Metodologia Científica E Filosofia Da Ciência 
11:40:00 - 12:30:00 , , , , , , Metodologia Científica E Filosofia Da Ciência 
13:10:00 - 14:00:00 , , , , , , 
14:00:00 - 14:50:00 , , Gestão Da Produção E Da Qualidade , Operações Unitárias 1 , Gestão Da Produção E Da Qualidade , Biologia Da Conservação , Ecologia Do Cerrado 
14:50:00 - 15:40:00 , , Gestão Da Produção E Da Qualidade , Operações Unitárias 1 , Gestão Da Produção E Da Qualidade , Biologia Da Conservação , Ecologia Do Cerrado 
16:00:00 - 16:50:00 , , Morfologia E Taxonomia Vegetal , Administração Da Produção E Operações , Cálculo 3a , Administração Da Produção E Operações , Ecologia Do Cerrado 
16:50:00 - 17:40:00 , , Morfologia E Taxonomia Vegetal , , Cálculo 3a , Administração Da Produção E Operações , Ecologia Do Cerrado 
17:40:00 - 18:30:00 , , , , , , 
18:05:00 - 18:50:00 , , , , , , 
18:50:00 - 19:35:00 , , Anatomia Vegetal , Bioestatística , Biofísica , Biofísica , Educação Em Saúde 
19:35:00 - 20:20:00 , , Anatomia Vegetal , Bioestatística , Biofísica , Biofísica , Educação Em Saúde 
20:30:00 - 21:15:00 , , Anatomia Vegetal , Bioestatística , Biofísica , Biofísica , Educação Em Saúde 
21:15:00 - 22:00:00 , , Anatomia Vegetal , , Biofísica , Biofísica , Educação Em Saúde 
Sala: 109 , Prédio: CAA , Segunda,Terca,Quarta,Quinta,Sexta,Sabado,Domingo
07:10:00 - 08:00:00 , , , , , , 
08:00:00 - 08:50:00 , , , , Promoção Da Saúde I , Corpo Humano Saudável I , 
08:50:00 - 09:40:00 , , , , Promoção Da Saúde I , Corpo Humano Saudável I , 
10:00:00 - 10:50:00 , , , Corpo Humano Saudável I , Promoção Da Saúde I , Corpo Humano Saudável I , 
10:50:00 - 11:40:00 , , , Corpo Humano Saudável I , Promoção Da Saúde I , Corpo Humano Saudável I , 
11:40:00 - 12:30:00 , , , , , , 
13:10:00 - 14:00:00 , , , , , , 
14:00:00 - 14:50:00 , , , Cálculo 3a , Cálculo 3a , Cálculo 3a , 
14:50:00 - 15:40:00 , , , Cálculo 3a , Cálculo 3a , Cálculo 3a , 
16:00:00 - 16:50:00 , , , Tópicos Em Fisiologia , Administração Da Produção E Operações , Estágio I , 
16:50:00 - 17:40:00 , , , Tópicos Em Fisiologia , Administração Da Produção E Operações , Estágio I , 
17:40:00 - 18:30:00 , , , , , , 
18:05:00 - 18:50:00 , , , , , , 
18:50:00 - 19:35:00 , , , Anatomia Vegetal , , , 
19:35:00 - 20:20:00 , , , Anatomia Vegetal , , , 
20:30:00 - 21:15:00 , , , , , Anatomia Vegetal , 
21:15:00 - 22:00:00 , , , , , Anatomia Vegetal , 
Sala: 110 , Prédio: CAA , Segunda,Terca,Quarta,Quinta,Sexta,Sabado,Domingo
07:10:00 - 08:00:00 , , , , , , 
08:00:00 - 08:50:00 , , , , , , 
08:50:00 - 09:40:00 , , , , , , 
10:00:00 - 10:50:00 , , , , , , 
10:50:00 - 11:40:00 , , , , , , 
11:40:00 - 12:30:00 , , , , , , 
13:10:00 - 14:00:00 , , , , , , 
14:00:00 - 14:50:00 , , , , , , 
14:50:00 - 15:40:00 , , , , , , 
16:00:00 - 16:50:00 , , , , , , 
16:50:00 - 17:40:00 , , , , , , 
17:40:00 - 18:30:00 , , , , , , 
18:05:00 - 18:50:00 , , , , , , 
18:50:00 - 19:35:00 , , , , , , 
19:35:00 - 20:20:00 , , , , , , 
20:30:00 - 21:15:00 , , , , , , 
21:15:00 - 22:00:00 , , , , , , 
Sala: 201 , Prédio: CAA , Segunda,Terca,Quarta,Quinta,Sexta,Sabado,Domingo
07:10:00 - 08:00:00 , , , , , , 
08:00:00 - 08:50:00 , , , , , , 
08:50:00 - 09:40:00 , , , , , , 
10:00:00 - 10:50:00 , , , , , , 
10:50:00 - 11:40:00 , , , , , , 
11:40:00 - 12:30:00 , , , , , , 
13:10:00 - 14:00:00 , , , , , , 
14:00:00 - 14:50:00 , , , , , , 
14:50:00 - 15:40:00 , , , , , , 
16:00:00 - 16:50:00 , , , , , , 
16:50:00 - 17:40:00 , , , , , , 
17:40:00 - 18:30:00 , , , , , , 
18:05:00 - 18:50:00 , , , , , , 
18:50:00 - 19:35:00 , , , , , , 
19:35:00 - 20:20:00 , , , , , , 
20:30:00 - 21:15:00 , , , , , , 
21:15:00 - 22:00:00 , , , , , , 
Sala: 203 , Prédio: CAA , Segunda,Terca,Quarta,Quinta,Sexta,Sabado,Domingo
07:10:00 - 08:00:00 , , , , , , 
08:00:00 - 08:50:00 , , , , , , 
08:50:00 - 09:40:00 , , , , , , 
10:00:00 - 10:50:00 , , , , , , 
10:50:00 - 11:40:00 , , , , , , 
11:40:00 - 12:30:00 , , , , , , 
13:10:00 - 14:00:00 , , , , , , 
14:00:00 - 14:50:00 , , , , , , 
14:50:00 - 15:40:00 , , , , , , 
16:00:00 - 16:50:00 , , , , , , 
16:50:00 - 17:40:00 , , , , , , 
17:40:00 - 18:30:00 , , , , , , 
18:05:00 - 18:50:00 , , , , , , 
18:50:00 - 19:35:00 , , , , , , 
19:35:00 - 20:20:00 , , , , , , 
20:30:00 - 21:15:00 , , , , , , 
21:15:00 - 22:00:00 , , , , , , 
Sala: 204 , Prédio: CAA , Segunda,Terca,Quarta,Quinta,Sexta,Sabado,Domingo
07:10:00 - 08:00:00 , , , , , , 
08:00:00 - 08:50:00 , , , , , , 
08:50:00 - 09:40:00 , , , , , , 
10:00:00 - 10:50:00 , , , , , , 
10:50:00 - 11:40:00 , , , , , , 
11:40:00 - 12:30:00 , , , , , , 
13:10:00 - 14:00:00 , , , , , , 
14:00:00 - 14:50:00 , , , , , , 
14:50:00 - 15:40:00 , , , , , , 
16:00:00 - 16:50:00 , , , , , , 
16:50:00 - 17:40:00 , , , , , , 
17:40:00 - 18:30:00 , , , , , , 
18:05:00 - 18:50:00 , , , , , , 
18:50:00 - 19:35:00 , , , , , , 
19:35:00 - 20:20:00 , , , , , , 
20:30:00 - 21:15:00 , , , , , , 
21:15:00 - 22:00:00 , , , , , , 
Sala: 205 , Prédio: CAA , Segunda,Terca,Quarta,Quinta,Sexta,Sabado,Domingo
07:10:00 - 08:00:00 , , , , , , 
08:00:00 - 08:50:00 , , Cálculo 3a , Probabilidade E Estatística , Cálculo 3a , Probabilidade E Estatística , Química Fundamental 
08:50:00 - 09:40:00 , , Cálculo 3a , Probabilidade E Estatística , Cálculo 3a , Probabilidade E Estatística , Química Fundamental 
10:00:00 - 10:50:00 , , Probabilidade E Estatística , Química Geral B , Probabilidade E Estatística , Química Geral B , Introdução À Computação 
10:50:00 - 11:40:00 , , Probabilidade E Estatística , Química Geral B , Probabilidade E Estatística , Química Geral B , Introdução À Computação 
11:40:00 - 12:30:00 , , , , , , 
13:10:00 - 14:00:00 , , , , , , 
14:00:00 - 14:50:00 , , Física I , , Física I , , Introdução À Computação 
14:50:00 - 15:40:00 , , Probabilidade E Estatística , , Física I , , Introdução À Computação 
16:00:00 - 16:50:00 , , Introdução À Computação , Métodos Analíticos Em Biomedicina , Introdução À Computação , , Introdução À Computação 
16:50:00 - 17:40:00 , , Introdução À Computação , Métodos Analíticos Em Biomedicina , Introdução À Computação , , Introdução À Computação 
17:40:00 - 18:30:00 , , , , , , 
18:05:00 - 18:50:00 , , , , , , 
18:50:00 - 19:35:00 , , , , , , 
19:35:00 - 20:20:00 , , , , , , 
20:30:00 - 21:15:00 , , , , , , 
21:15:00 - 22:00:00 , , , , , , 
Sala: 206 , Prédio: CAA , Segunda,Terca,Quarta,Quinta,Sexta,Sabado,Domingo
07:10:00 - 08:00:00 , , , , , , 
08:00:00 - 08:50:00 , , Psicologia Organizacional , Química Fundamental , , Farmacobotânica , 
08:50:00 - 09:40:00 , , Psicologia Organizacional , Química Fundamental , , Farmacobotânica , 
10:00:00 - 10:50:00 , , Psicologia Organizacional , , , , 
10:50:00 - 11:40:00 , , Psicologia Organizacional , Cálculo 1a , , , 
11:40:00 - 12:30:00 , , , , , , 
13:10:00 - 14:00:00 , , Farmacobotânica , , , , 
14:00:00 - 14:50:00 , , Farmacobotânica , , Introdução À Computação , , 
14:50:00 - 15:40:00 , , Física I , , Introdução À Computação , , 
16:00:00 - 16:50:00 , , Introdução À Computação , , , , Parasitologia Veterinária 
16:50:00 - 17:40:00 , , Introdução À Computação , , Introdução À Computação , , Parasitologia Veterinária 
17:40:00 - 18:30:00 , , , , , , 
18:05:00 - 18:50:00 , , , , , , 
18:50:00 - 19:35:00 , , , , , , 
19:35:00 - 20:20:00 , , , , , , 
20:30:00 - 21:15:00 , , , , , , 
21:15:00 - 22:00:00 , , , , , , 
Sala: 207 , Prédio: CAA , Segunda,Terca,Quarta,Quinta,Sexta,Sabado,Domingo
07:10:00 - 08:00:00 , , , , , , 
08:00:00 - 08:50:00 , , , Operações Unitárias 1 , , Operações Unitárias 1 , Controle Digital De Processos 
08:50:00 - 09:40:00 , , , Operações Unitárias 1 , , Operações Unitárias 1 , Controle Digital De Processos 
10:00:00 - 10:50:00 , , Paleobiologia , Ecologia Comportamental , , , 
10:50:00 - 11:40:00 , , Administração Da Produção E Operações , Ecologia Comportamental , , , 
11:40:00 - 12:30:00 , , , , , , 
13:10:00 - 14:00:00 , , Físico-Química 4 , , Físico-Química 4 , , 
14:00:00 - 14:50:00 , , Biologia Molecular , Química Geral B , , Operações Unitárias 1 , Fisiologia 
14:50:00 - 15:40:00 , , Biologia Molecular , Química Geral B , , Operações Unitárias 1 , Fisiologia 
16:00:00 - 16:50:00 , , Anatomia Humana , , Controle Digital De Processos , Fisiologia , Fisiologia 
16:50:00 - 17:40:00 , , , , Controle Digital De Processos , Fisiologia , Fisiologia 
17:40:00 - 18:30:00 , , , , , , 
18:05:00 - 18:50:00 , , , , , , 
18:50:00 - 19:35:00 , , , , , , 
19:35:00 - 20:20:00 , , , , , , 
20:30:00 - 21:15:00 , , , , , , 
21:15:00 - 22:00:00 , , , Bioestatística , , , 
Sala: 208 , Prédio: CAA , Segunda,Terca,Quarta,Quinta,Sexta,Sabado,Domingo
07:10:00 - 08:00:00 , , , , , , 
08:00:00 - 08:50:00 , , , , , , 
08:50:00 - 09:40:00 , , , , , , 
10:00:00 - 10:50:00 , , , , , , 
10:50:00 - 11:40:00 , , , , , , 
11:40:00 - 12:30:00 , , , , , , 
13:10:00 - 14:00:00 , , , , , , 
14:00:00 - 14:50:00 , , , , , , 
14:50:00 - 15:40:00 , , , , , , 
16:00:00 - 16:50:00 , , , , , , 
16:50:00 - 17:40:00 , , , , , , 
17:40:00 - 18:30:00 , , , , , , 
18:05:00 - 18:50:00 , , , , , , 
18:50:00 - 19:35:00 , , , , , , 
19:35:00 - 20:20:00 , , , , , , 
20:30:00 - 21:15:00 , , , , , , 
21:15:00 - 22:00:00 , , , , , , 
Sala: 209 , Prédio: CAA , Segunda,Terca,Quarta,Quinta,Sexta,Sabado,Domingo
07:10:00 - 08:00:00 , , , , , , 
08:00:00 - 08:50:00 , , , , , , 
08:50:00 - 09:40:00 , , , , , , 
10:00:00 - 10:50:00 , , , , , , 
10:50:00 - 11:40:00 , , , , , , 
11:40:00 - 12:30:00 , , , , , , 
13:10:00 - 14:00:00 , , , , , , 
14:00:00 - 14:50:00 , , , , , , 
14:50:00 - 15:40:00 , , , , , , 
16:00:00 - 16:50:00 , , , , , , 
16:50:00 - 17:40:00 , , , , , , 
17:40:00 - 18:30:00 , , , , , , 
18:05:00 - 18:50:00 , , , , , , 
18:50:00 - 19:35:00 , , , , , , 
19:35:00 - 20:20:00 , , , , , , 
20:30:00 - 21:15:00 , , , , , , 
21:15:00 - 22:00:00 , , , , , , 
Sala: 301 , Prédio: CAA , Segunda,Terca,Quarta,Quinta,Sexta,Sabado,Domingo
07:10:00 - 08:00:00 , , , , , , 
08:00:00 - 08:50:00 , , , , , , 
08:50:00 - 09:40:00 , , , , , , 
10:00:00 - 10:50:00 , , , , , , 
10:50:00 - 11:40:00 , , , , , , 
11:40:00 - 12:30:00 , , , , , , 
13:10:00 - 14:00:00 , , , , , , 
14:00:00 - 14:50:00 , , , , , , 
14:50:00 - 15:40:00 , , , , , , 
16:00:00 - 16:50:00 , , , , , , 
16:50:00 - 17:40:00 , , , , , , 
17:40:00 - 18:30:00 , , , , , , 
18:05:00 - 18:50:00 , , , , , , 
18:50:00 - 19:35:00 , , , , , , 
19:35:00 - 20:20:00 , , , , , , 
20:30:00 - 21:15:00 , , , , , , 
21:15:00 - 22:00:00 , , , , , , 
Sala: 302 , Prédio: CAA , Segunda,Terca,Quarta,Quinta,Sexta,Sabado,Domingo
07:10:00 - 08:00:00 , , , , , , 
08:00:00 - 08:50:00 , , , , , , 
08:50:00 - 09:40:00 , , , , , , 
10:00:00 - 10:50:00 , , , , , , 
10:50:00 - 11:40:00 , , , , , , 
11:40:00 - 12:30:00 , , , , , , 
13:10:00 - 14:00:00 , , , , , , 
14:00:00 - 14:50:00 , , , , , , 
14:50:00 - 15:40:00 , , , , , , 
16:00:00 - 16:50:00 , , , , , , 
16:50:00 - 17:40:00 , , , , , , 
17:40:00 - 18:30:00 , , , , , , 
18:05:00 - 18:50:00 , , , , , , 
18:50:00 - 19:35:00 , , , , , , 
19:35:00 - 20:20:00 , , , , , , 
20:30:00 - 21:15:00 , , , , , , 
21:15:00 - 22:00:00 , , , , , , 
Sala: 303 , Prédio: CAA , Segunda,Terca,Quarta,Quinta,Sexta,Sabado,Domingo
07:10:00 - 08:00:00 , , , , , , 
08:00:00 - 08:50:00 , , , , , , 
08:50:00 - 09:40:00 , , , , , , 
10:00:00 - 10:50:00 , , , , , , 
10:50:00 - 11:40:00 , , , , , , 
11:40:00 - 12:30:00 , , , , , , 
13:10:00 - 14:00:00 , , , , , , 
14:00:00 - 14:50:00 , , , , , , 
14:50:00 - 15:40:00 , , , , , , 
16:00:00 - 16:50:00 , , , , , , 
16:50:00 - 17:40:00 , , , , , , 
17:40:00 - 18:30:00 , , , , , , 
18:05:00 - 18:50:00 , , , , , , 
18:50:00 - 19:35:00 , , , , , , 
19:35:00 - 20:20:00 , , , , , , 
20:30:00 - 21:15:00 , , , , , , 
21:15:00 - 22:00:00 , , , , , , 
Sala: 304 , Prédio: CAA , Segunda,Terca,Quarta,Quinta,Sexta,Sabado,Domingo
07:10:00 - 08:00:00 , , , , , , 
08:00:00 - 08:50:00 , , , , , , 
08:50:00 - 09:40:00 , , , , , , 
10:00:00 - 10:50:00 , , , , , , 
10:50:00 - 11:40:00 , , , , , , 
11:40:00 - 12:30:00 , , , , , , 
13:10:00 - 14:00:00 , , , , , , 
14:00:00 - 14:50:00 , , , , , , 
14:50:00 - 15:40:00 , , , , , , 
16:00:00 - 16:50:00 , , , , , , 
16:50:00 - 17:40:00 , , , , , , 
17:40:00 - 18:30:00 , , , , , , 
18:05:00 - 18:50:00 , , , , , , 
18:50:00 - 19:35:00 , , , , , , 
19:35:00 - 20:20:00 , , , , , , 
20:30:00 - 21:15:00 , , , , , , 
21:15:00 - 22:00:00 , , , , , , 
Sala: 305 , Prédio: CAA , Segunda,Terca,Quarta,Quinta,Sexta,Sabado,Domingo
07:10:00 - 08:00:00 , , , , , , 
08:00:00 - 08:50:00 , , , , , , 
08:50:00 - 09:40:00 , , , , , , 
10:00:00 - 10:50:00 , , , , , , 
10:50:00 - 11:40:00 , , , , , , 
11:40:00 - 12:30:00 , , , , , , 
13:10:00 - 14:00:00 , , , , , , 
14:00:00 - 14:50:00 , , , , , , 
14:50:00 - 15:40:00 , , , , , , 
16:00:00 - 16:50:00 , , , , , , 
16:50:00 - 17:40:00 , , , , , , 
17:40:00 - 18:30:00 , , , , , , 
18:05:00 - 18:50:00 , , , , , , 
18:50:00 - 19:35:00 , , , , , , 
19:35:00 - 20:20:00 , , , , , , 
20:30:00 - 21:15:00 , , , , , , 
21:15:00 - 22:00:00 , , , , , , 
Sala: 307 , Prédio: CAA , Segunda,Terca,Quarta,Quinta,Sexta,Sabado,Domingo
07:10:00 - 08:00:00 , , , , , , 
08:00:00 - 08:50:00 , , , , , , 
08:50:00 - 09:40:00 , , , , , , 
10:00:00 - 10:50:00 , , , , , , 
10:50:00 - 11:40:00 , , , , , , 
11:40:00 - 12:30:00 , , , , , , 
13:10:00 - 14:00:00 , , , , , , 
14:00:00 - 14:50:00 , , , , , , 
14:50:00 - 15:40:00 , , , , , , 
16:00:00 - 16:50:00 , , , , , , 
16:50:00 - 17:40:00 , , , , , , 
17:40:00 - 18:30:00 , , , , , , 
18:05:00 - 18:50:00 , , , , , , 
18:50:00 - 19:35:00 , , , , , , 
19:35:00 - 20:20:00 , , , , , , 
20:30:00 - 21:15:00 , , , , , , 
21:15:00 - 22:00:00 , , , , , , 
Sala: 308 , Prédio: CAA , Segunda,Terca,Quarta,Quinta,Sexta,Sabado,Domingo
07:10:00 - 08:00:00 , , , , , , 
08:00:00 - 08:50:00 , , , , , , 
08:50:00 - 09:40:00 , , , , , , 
10:00:00 - 10:50:00 , , , , , , 
10:50:00 - 11:40:00 , , , , , , 
11:40:00 - 12:30:00 , , , , , , 
13:10:00 - 14:00:00 , , , , , , 
14:00:00 - 14:50:00 , , , , , , 
14:50:00 - 15:40:00 , , , , , , 
16:00:00 - 16:50:00 , , , , , , 
16:50:00 - 17:40:00 , , , , , , 
17:40:00 - 18:30:00 , , , , , , 
18:05:00 - 18:50:00 , , , , , , 
18:50:00 - 19:35:00 , , , , , , 
19:35:00 - 20:20:00 , , , , , , 
20:30:00 - 21:15:00 , , , , , , 
21:15:00 - 22:00:00 , , , , , , 
Sala: 310 , Prédio: CAA , Segunda,Terca,Quarta,Quinta,Sexta,Sabado,Domingo
07:10:00 - 08:00:00 , , , , , Corpo Humano Saudável I , 
08:00:00 - 08:50:00 , , Corpo Humano Saudável I , , Genética: Passado, Presente E Futuro , Tópicos Em Genética , Tópicos Em Genética 
08:50:00 - 09:40:00 , , Corpo Humano Saudável I , , Genética: Passado, Presente E Futuro , Tópicos Em Genética , Tópicos Em Genética 
10:00:00 - 10:50:00 , , , Metodologia Qualitativa Em Saúde - Procedimentos Do Trabalho De Campo , Genética: Passado, Presente E Futuro , Tópicos Em Genética , Tópicos Em Genética 
10:50:00 - 11:40:00 , , , Metodologia Qualitativa Em Saúde - Procedimentos Do Trabalho De Campo , Genética: Passado, Presente E Futuro , Tópicos Em Genética , Tópicos Em Genética 
11:40:00 - 12:30:00 , , , , , , 
13:10:00 - 14:00:00 , , , , , Educação Em Saúde , 
